epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,1.4175241150698819,5.78800482749939,0.0329715131836934,0.0,0.0,0.0,0.0,0.1453170798917039,0.0,0.0,0.0,0.0,0.03849540135935404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012467350933921282,0.0,0.0,0.0,0.8424971606725032,0.0,0.0,0.0,0.0,0.028654106445288468,0.0,0.0,0.0,0.0,0.0
2,0.592615238585315,2.801583456993103,0.07725446075123935,0.0,0.0,0.0002945910023925969,0.0,0.2965299724773728,0.08434447788893942,0.0,0.0,0.0,0.1619324347025384,0.006088953288145538,0.0,0.0,0.0,0.0027835776356952753,0.0,0.0,0.025653614535588797,0.0,0.03043437448577869,0.0,0.9144285365732827,0.0,0.0,0.0036949271825044124,0.0,0.8874742127220255,0.0,0.0,0.0,0.0,0.05848307154539488
3,0.4420746882538219,0.7496381819248199,0.19085897795656281,0.0,0.0,0.30632129324485957,0.0,0.7602640181111109,0.14215619509773306,0.0,0.0,0.0,0.6326099199812611,0.4976285343025877,0.0,0.0,0.0,0.10166788575214405,0.0,0.0,0.6731548649838374,0.0,0.5692892970124508,0.0,0.9366025175973869,0.0,0.0,0.2660171669830068,0.0,0.8935233824384536,0.0,0.0,0.0,0.0,0.32825221910517854
4,0.3695602430092109,0.44033582508563995,0.21653750003848513,0.0,0.0,0.45370432134194216,0.0,0.8641391702974891,0.2579112085255718,0.0,0.0,0.0,0.6642276277766719,0.5448888150023337,0.0,0.0,0.0,0.10226724741933176,0.0,0.0020609532661074632,0.8727205978543797,0.0,0.7002339849660448,0.0,0.9335461850649178,0.0,0.0,0.18394622923181417,0.0,0.8909624991343816,0.0,0.0,0.0,0.001316649625847434,0.4572745117246912
5,0.3259550401797661,0.45210798382759093,0.20935185861097358,0.0,0.0,0.46070587901531035,0.0,0.894372002016347,0.30588871822130825,0.0,0.0,0.0,0.5297065972980737,0.48669202218246366,0.0,0.0,0.0,0.09902763571822679,0.0,0.0,0.8508491061182385,0.0,0.6845320732680297,0.0,0.9397037224710804,0.0,0.0,0.2823639001693279,0.0,0.9168406200331237,0.0011951991815855722,0.0,0.0,0.0046963386389494,0.2426856612190904
6,0.30056342040444467,0.40897435396909715,0.23580777445548512,0.0,0.0,0.47748905586466145,0.0,0.8566939145733565,0.2119621489837356,0.0,0.0,0.0,0.725205943331665,0.5850317956133486,0.0,0.0,0.0,0.20940425380927447,0.0,0.1726551712487825,0.8701800090216606,0.0,0.697326894450472,0.0,0.9370763730199763,0.0,0.0,0.28537754372168594,0.0,0.9121108878686467,0.06291552309286028,0.0,0.0,0.08550093104055366,0.45691833693484424
7,0.24909292112339984,0.4360651716589928,0.25306708321772226,0.0,0.0,0.5035199031153379,0.0,0.8785389544050253,0.38342894336188876,0.0,0.0,0.0,0.7489791137202967,0.5793420289486464,0.0,0.0,0.0,0.33199718147990337,0.0,0.08280062532189889,0.8397875674686561,0.0,0.6139957520717456,0.0,0.9316897728905765,0.0,0.0,0.40275886942576583,0.0,0.9097630501220137,0.21274510485548123,0.0,0.0,0.09408073277781101,0.5847190630020661
8,0.2257066506605882,0.5159829139709473,0.27109914707420485,0.0,0.0,0.6651010516960311,0.0,0.8900384658360825,0.36846663048657496,0.0,0.0,0.00036947466442448603,0.7514025503221533,0.5476067623004239,0.0,0.0,0.0,0.40179345864632826,0.0,0.3084327678613338,0.7792042435215962,0.0,0.6912303654110997,0.0,0.9315100517962716,0.0,0.0,0.42785824237939074,0.0,0.9122914838463995,0.228005616971048,0.0,0.0,0.16974772096599805,0.6021138196693984
9,0.21143707633018494,0.2616161346435547,0.28967225935186525,0.0,0.0,0.7104677653366485,0.0,0.9231263089811657,0.4967877870448629,0.0,0.0,0.0033538053582774494,0.7732890192219493,0.5843070447784676,0.0,0.0002879338108800494,0.0,0.4020124525801226,0.0,0.34650718719200857,0.9051336315136634,0.0,0.8098082300122403,0.0,0.9378131491336026,0.0,0.0,0.5662029298642225,0.0,0.9188070504476155,0.12112500793387988,0.0,0.0,0.13594754039110796,0.6345354556589713
10,0.19545841806537503,0.28547982275485995,0.29500982695560013,0.0,0.0,0.7531426649404903,0.0,0.9045535909701419,0.5282798861400192,0.0,0.0,0.009758549321832165,0.7792886477803487,0.5410766646892596,0.0,0.0006138555995728022,0.0,0.4913641603104688,0.0,0.39732288183027487,0.8942828306963756,0.0,0.7796382398191942,0.0,0.9422324663881984,0.0,0.0,0.4549497047493033,0.0,0.9193133156771335,0.230365899685336,0.0,0.0,0.16542581992923253,0.6487052840520204
11,0.17979365497172534,0.3483825594186783,0.306591225206565,0.0,0.0,0.7916742426402913,0.0,0.928205925106956,0.5216027457784869,0.0,0.0,0.007298290225580579,0.7760398046646013,0.6043382624562474,0.0,0.09806471780191385,0.0,0.4633809100973668,0.0,0.4269840745060873,0.8344026845026331,0.0,0.7314527180564667,0.0,0.9397833320197106,0.0,0.0,0.5695607019094344,0.0,0.9237594075311906,0.3007228328971402,0.0,0.0,0.25564287190219404,0.638005684513779
12,0.17455691696850809,0.27398533970117567,0.31536870533450423,0.0,0.0,0.776132192009305,0.0,0.9335647059026029,0.5148863185671846,0.0,0.0,0.052590857522147406,0.7563667284465471,0.6166951665290777,0.0,0.13227660307262398,0.0,0.48792964564371405,0.0,0.39460662357430476,0.8897639866219642,0.0,0.7897476732559039,0.0,0.9383357586772503,0.0,0.0,0.6420035150284537,0.0,0.9200088650752379,0.33358628869212315,0.0,0.0149484583791346,0.23300155165434897,0.665353632052212
13,0.15601620094461754,0.24498284459114075,0.32585791791470764,0.0,0.0,0.8023381828220618,0.0,0.9346347805942429,0.5269964773599,0.0,0.0008111900486816564,0.0917339937904385,0.8004330690314436,0.6388256147496627,0.0,0.09685361505652171,0.0,0.5095709156497211,0.0,0.5523804882776936,0.8941046107406183,0.0,0.8001182509840955,0.0,0.9456119920999739,0.0,0.0,0.6545629816259321,0.0,0.9240666015257366,0.3310548617371441,0.0,0.015687065296438398,0.2174545728148372,0.690214109065502
14,0.14878680597949814,0.21866125762462615,0.3304366632608021,0.0,0.0,0.8059923973041332,0.0,0.9370476676347653,0.4836291563311542,0.0,0.08386758987426564,0.09020696054459357,0.8053539072168299,0.6318572257471067,0.0,0.07110629464148602,0.0,0.5223776053645249,0.0,0.5077584316579558,0.9145893306538146,0.0,0.8242759720892787,0.0,0.9456884176827398,0.0,0.0,0.6871257584642935,0.0,0.9272287373276413,0.35754420909903845,0.0,0.028470251782916577,0.24452754897556006,0.70532576195357
