epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,2.230284933,2.284366941,0.018193795,0,0,0,0,0.186553611,0,0,0,0,0,0,0,0,0,0,0,0,0.388733374,0,0,0,0,0,0,0,0,0.006914443,0,0,0,0,0
2,2.1786227,2.074591577,0.007970626,0,0,0,0,0.255060041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2.059250909,2.038004398,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2.045327899,2.038545716,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2.040584728,2.037038255,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.039973606,2.037099314,0.007970626,0,0,0,0,0.255060041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2.038375682,2.033170915,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2.039034802,2.033692944,0.007970626,0,0,0,0,0.255060041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2.040823627,2.040581775,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2.036927735,2.032806194,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2.037716581,2.033135617,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2.036111642,2.030613983,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2.036414618,2.031819904,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2.035740073,2.03540678,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2.037491272,2.034424186,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2.03504541,2.029716372,0.007970626,0,0,0,0,0.255060041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2.034639565,2.030389559,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2.03419631,2.030059075,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2.034208507,2.029611003,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2.033743488,2.029560387,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2.033626607,2.029627442,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2.033557322,2.029771221,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2.033535521,2.029771101,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2.033534459,2.029777551,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2.033533445,2.029777718,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2.033532314,2.029778099,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2.033537715,2.029794693,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2.033530586,2.029793715,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2.033531037,2.029790628,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2.033531497,2.029788601,0.008285418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265133391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
