epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,0.9351856780576182,0.919758403301239,0.10724303453837944,0.0,0.0,0.004450496304822364,0.0,0.6185836491960518,0.000135788554181968,0.0,0.0,0.00021363519205410127,0.0004511231762514143,0.0,0.0,0.0,0.0,0.0,0.0,0.00024430983630069445,0.7420055233252162,0.0,0.3384678165185743,0.0,0.9089721644859168,0.0,0.0,0.0039773867150325855,0.0,0.8128093812593737,0.0,0.0,0.001465830664366403,0.0,0.0
2,0.9092390890959855,0.8960204422473907,0.12074073126961746,0.0,0.0,0.21062537109948481,0.0,0.7087018355365104,0.005374083841154342,0.0,0.0,9.951663363593493e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006882571367068148,0.7619565886509633,0.0,0.35187700707062686,0.0,0.9316316019097746,0.0,0.0,0.0,0.0,0.8793490919129235,0.0,0.0,0.007205732605617315,0.0,0.0
3,0.8831077054306701,0.8757542967796326,0.12967944436787487,0.0,0.0,0.41098944778714863,0.0,0.7056761585046408,0.00730209927071992,0.0,0.0,0.0,6.4016388236359e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.007637495656820138,0.7716912884946747,0.0,0.39803796301640487,0.0,0.9296605617104514,0.0,0.0,0.0,0.0,0.9165329267095311,4.522840364191951e-05,0.0,0.0,0.0,0.002162648579138722
4,0.8657250535357129,0.8610260188579559,0.15985265047121205,0.0,0.0,0.49595910899354045,0.0,0.7464890667780921,0.07190060531182588,0.0,0.004600873439249591,0.0,0.00017569881079266032,0.28052195590397144,0.0,0.0,0.0,0.0,0.0,0.0,0.8249374627787056,0.0,0.7214212576021823,0.0,0.9380458082215497,0.0,0.0,5.192108022804299e-05,0.0,0.9187892559106057,0.008087770515473082,0.0,0.0014300716642296253,0.0,0.10287395806833943
5,0.8507699972980625,0.853493720293045,0.1645095816990413,0.0,0.0,0.31750124349325376,0.0,0.7488143764913672,0.04267227388085836,0.0,0.0,0.0,0.0,0.45708744579213045,0.0,0.0,0.0,0.0,0.0,0.0,0.7046581697943426,0.0,0.6514153873043272,0.0,0.9393949578962795,0.0,0.0,0.00012467273422849115,0.0,0.8925542194520016,0.003502444063146352,0.0,0.0,0.0,0.5065814234673865
6,0.8372289132285904,0.8372566282749176,0.18857342685045572,0.0,0.0,0.33328248400622784,0.0,0.7963689152878037,0.1767595236362575,0.0,0.0,0.0,0.0006444855356612665,0.59355079604249,0.0,0.0,0.0,0.0083287325424392,0.0,0.01255571520433292,0.8891270047951618,0.0,0.8055922747512145,0.0,0.9400317894468992,0.0,0.0,0.005660248076498038,0.0,0.9136032894406378,0.006627278942126717,0.0,0.004183435421843197,0.0,0.5480336860849901
7,0.8267011210158631,0.8366260647773742,0.1752322799124684,0.0,0.0,0.2663443226776506,0.0,0.7296071168841743,0.13563788031950225,0.0,0.0,0.0,0.0,0.5571104546378216,0.0,0.0,0.0,0.1743422491982764,0.0,0.010278461561190833,0.808797913153801,0.0,0.45837216194720753,0.0,0.934437426274925,0.0,0.0,0.07037099983720826,0.0,0.9211386409382143,0.035825224700092806,0.0,0.0006361044102568643,0.0,0.5045340006586659
8,0.8063142882598625,0.8056129455566406,0.19457420034927114,0.0,0.0,0.37611532414808735,0.0,0.7602172353443877,0.19457937216592455,0.0,0.0,0.0,0.0,0.6121327467381054,0.0,0.0,0.0,0.2068343118222064,0.0,0.03477814890057359,0.8522109218003004,0.0,0.621754931160908,0.0,0.9395846826448487,0.0,0.0,0.060625124456793425,0.0,0.9137707574162128,0.02440391389278612,0.0,0.0005611716872180199,0.0,0.6288057689983254
9,0.784901133605412,0.8299290835857391,0.13092135144346667,0.0,0.0,0.13826845384388198,0.0,0.456710360249879,0.09484764901235558,0.0,0.0,0.00017227113380525373,1.1240376486709407e-05,0.4541140648733883,0.0,0.0,0.0,0.060635515103148595,0.0,0.011649596084199054,0.4463044407820867,0.0,0.275938458018753,0.0,0.9404083587629926,0.0,0.0,0.0549936840373287,0.0,0.9045977692379672,0.0006088597987128847,0.0,0.00035821565005058405,0.0,0.3498643092258971
10,0.7642062836950951,0.7625295281410217,0.18946374356799717,0.0,0.0,9.680416442491309e-05,0.0,0.8004714509956903,0.15315567108390432,0.0,0.0,0.00023562420182030464,0.0001530662248206345,0.5744308453739302,0.0,0.0,0.0,0.31208444266437985,0.0,0.09887090683095645,0.8302112203859686,0.0,0.7438235519764211,0.0,0.9404592450675884,0.0,0.0,0.05420539097377466,0.0,0.8586499924196389,0.0016289647889859728,0.0,0.0,0.0,0.6943626170236044
