epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,0.944931598,0.941967309,0.007894923,0,0,0,0,0.251424172,0,0,0,0,0,0,0,0,0,0,0,0,0.001213352,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.940823096,0.939753211,0.00796584,0,0,0,0,0.254890937,0,0,0,0,0,0,0,0,0,0,0,0,1.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.937120828,0.929418254,0.007142955,0,0,0,0,0.075445158,0,0,0,0,0,0,0,0,0,0,0,0,0.153129398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.929431129,0.936584836,0.001250118,0,0,0.013805995,0,0.010341588,0.000422112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015434085,0,0,0,0,0,0,0,0,0,0,0,0
5,0.937413989,0.936955494,0.006224658,0,0,0.00231759,0,0.038197045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158674415,0,0,0,0,0,0,0,0,0,0,0,0
6,0.937759269,0.920908153,0.000842659,0,0,0.009289866,0,0,0,0,0,0,0,0.017671378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85E-06,0,0,0,0,0
7,0.743761624,0.712685215,0.004980735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159383536,0,0,0,0,0
8,0.720493879,0.712685215,0.004980735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159383536,0,0,0,0,0
9,0.720493879,0.712685215,0.004980735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159383536,0,0,0,0,0
10,0.720493879,0.712685215,0.004980735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159383536,0,0,0,0,0
