epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,1.186791060390053,3.0708240032196046,0.0419475655895125,0.0,0.0,0.017565229330804347,0.0,0.11005747720037137,0.0,0.0,0.0,0.0,0.07038958962169353,0.0001777795401413334,0.0,0.0,0.0,0.0,0.0,0.0,0.036409510081191296,0.0,0.058278371447328045,0.0,0.8889802779297792,0.0,0.0,0.0,0.0,0.1604638637130907,0.0,0.0,0.0,0.0,0.0
2,0.6179740019552,1.709538495540619,0.08066666098064353,0.0,0.0,0.15513881107189192,0.0,0.39725576265149354,0.08819071301880155,0.0,0.0,0.0,0.267812778711401,0.17664713385863862,0.0,0.0,0.0,0.0,0.0,0.0,0.6548937446546206,0.0,0.038266557297990784,0.0,0.1529191133896855,0.0,0.0,0.0,0.0,0.5933156226211888,0.0,0.0,0.0,0.0,0.05689291410488055
3,0.49381841801025056,3.1272191047668456,0.08188074802187488,0.0,0.0,0.03212573077071208,0.0,0.24527748973457278,0.07925409699480716,0.0,0.0,0.0,0.3270477458968492,0.0028791734861718177,0.0,0.0,0.0,0.0,0.0,0.0,0.001861501297012234,0.0,0.047951591412851644,0.0,0.9155696164526741,0.0,0.0,0.01780199329551008,0.0,0.8900875545307546,0.0,0.0,0.0,0.007410188318245893,0.052917254509834866
4,0.4078887082063235,0.5807878255844117,0.19895654153363077,0.0,0.0,0.5586156923012633,0.0,0.8514296482427,0.2256379020220037,0.0,0.0,0.0020247869731125565,0.5651155077687515,0.31151327452172856,0.0,0.0,0.0,0.08732507670663311,0.0,0.06694054168246903,0.7989531221733628,0.0,0.6608311326346914,0.0,0.9329181183434307,0.0,0.0,0.07536992854851549,0.0,0.8781918375128545,0.0017334983222948325,0.0,0.0,0.043496368907766224,0.3065128924146057
5,0.3452075875394947,0.6309722095727921,0.20891435681881582,0.0,0.0,0.4268733510609247,0.0,0.6901461391635159,0.2786834701590485,0.0,0.0,0.010107531725197844,0.45081000198952753,0.357379712351079,0.0,0.0,0.0,0.16925916366545274,0.0,0.1630903388791734,0.8744815287763463,0.0,0.7470802125915343,0.0,0.8945054966789854,0.0,0.0,0.21112918097110964,0.0,0.8653057936779989,0.11163648400549382,0.0,0.0,0.10255406923645698,0.332216943270261
6,0.3053825435402629,0.47574539184570314,0.23632186452838858,0.0,0.0,0.6413430919070556,0.0,0.8191681900558251,0.2351960560919859,0.0,0.0,0.0020478223382200014,0.6516398996419217,0.625342547273,0.0,0.0,0.0,0.30381267246518767,0.0,0.15262617732083775,0.8586962511313688,0.0,0.6776632245686972,0.0,0.9421230008924313,0.0,0.0,0.1513149338391852,0.0,0.9072748573907935,0.06283458348489737,0.0,0.0,0.10403773098210019,0.42717862552492675
7,0.27581049976768074,0.4201594293117523,0.2548703701845111,0.0,0.0,0.6518550536810607,0.0,0.8892865986800824,0.37216756706791293,0.0,0.0,0.04181712536194065,0.6407133036041917,0.573070185990135,0.0,0.0,0.0,0.3402055358114003,0.0,0.14558376587625094,0.8427012579448359,0.0,0.6197978134750785,0.0,0.9113502802017971,0.0,0.0,0.4486577539506265,0.0,0.8638346839361388,0.16783727565615808,0.0,0.0,0.11319029662000776,0.5337833480467365
8,0.2396317862874859,0.28899908512830735,0.29299179187426433,0.0,0.0,0.735925671561636,0.0,0.919431724482916,0.38761860986598146,0.0,0.0,0.028841573744123206,0.7570484641516915,0.596546997636173,0.0,0.058792690370872494,0.0,0.3361480876025076,0.0,0.3536806965885336,0.8875570281699602,0.0,0.7967409741413556,0.0,0.9420008746766172,0.0,0.0,0.5391867515129268,0.0,0.9235035328160034,0.2858079792705265,0.0,0.0,0.20833699323995644,0.6185686901446774
9,0.21140120727020306,0.340820848941803,0.30292810729362374,0.0,0.0,0.6252816422655064,0.0,0.8877211214100285,0.49918475987095823,0.0,0.0,0.10305423949320011,0.7966793877379661,0.6148697961868785,0.0,0.1151324150781687,0.0,0.3430605602053395,0.0,0.4655482996217348,0.8810803642000756,0.0,0.7531750764563441,0.0,0.9291471392889935,0.0,0.0,0.6063437818000129,0.0,0.9151078702339884,0.3195145320062644,0.0,0.0,0.20823338469157027,0.6305650628489298
10,0.18734832550143146,0.26460810750722885,0.31431432845584695,0.0,0.0,0.7953476749352808,0.0,0.9110184255711969,0.39061799873002856,0.0,0.0,0.10987888559102106,0.7850198588934034,0.6590942042298127,0.0,0.04577105916570674,0.0,0.4172100281931909,0.0,0.5786633374952753,0.9075191587165421,0.0,0.8231426883217798,0.0,0.9446851443776729,0.0,0.0,0.5280083270709178,0.0,0.9230979375279815,0.33554980442245497,0.0,0.0,0.21796879940550093,0.6854651779393366
11,0.17174261243461253,0.2699383407831192,0.32955345093075306,0.0,0.0,0.811976224268682,0.0,0.9266734198062225,0.45595190055761475,0.0,0.0,0.14599085616724242,0.7464385964745055,0.6537803380964032,0.0,0.23300814720648577,0.0,0.48982071021036455,0.0,0.5930739567953018,0.895953065751586,0.0,0.7974391855794516,0.003298350849312975,0.9441026492389097,0.0,0.0,0.5933142897637789,0.0,0.9137031438027371,0.38658780395887876,0.0,0.0009630200345262715,0.27239484188066276,0.6812399293414305
12,0.1649555809550233,0.25195942223072054,0.32799245788045595,0.0,0.0,0.8117207475499868,0.0,0.9071805793251102,0.41950655940768333,0.0,0.0,0.1940546990583084,0.7649775479819023,0.6127275393009414,0.0,0.21751117827543892,0.0,0.38010581873619,0.0,0.506292555680883,0.9195081622621254,0.0,0.8350693665398625,0.12652524618009803,0.939322239717708,0.0,0.0,0.5644239532573071,0.0,0.9204636273231562,0.4351514472016313,0.0,0.07005169468948022,0.22687381623943254,0.6442918734473427
13,0.15721828130247828,0.2438490018248558,0.3599444966380891,0.0,0.0,0.7496813954777325,0.0,0.9258018604093307,0.5149835394168486,0.0,0.0,0.21674808312094168,0.8124677016948334,0.6655417883253498,0.0,0.43178175018416215,0.0,0.5035306626536974,0.0,0.6780598319562178,0.9107085400062062,0.0,0.8117029769109727,0.2602886650363533,0.9440121130673169,0.0,0.0,0.7321526528519151,0.0,0.9233149486179102,0.4604277977761623,0.0,0.023367715049368114,0.27482982242160137,0.6788220474419314
14,0.15203861466475896,0.20675938427448273,0.34604960047598415,0.0,0.0,0.7675594572611454,0.0,0.939315788443665,0.4597951447431924,0.0,0.0,0.2157529891468391,0.8194504585258964,0.6644203580869068,0.0,0.2253898855841538,0.0,0.491832581029204,0.0,0.47776307955935227,0.9314929243887884,0.0,0.8629755968644105,0.21389217811429478,0.9415378876597422,0.0,0.0,0.6895725906179069,0.0,0.9218806875833112,0.45212375736121235,0.0,0.11722739336590957,0.23604793888613998,0.6455565180094199
15,0.1495106640261608,0.19709051847457887,0.34552546280052077,0.0,0.0,0.8439142384425249,0.0,0.9269527501006205,0.5220620728056189,0.0,0.0,0.20031074216121927,0.7819902969142503,0.6483043582787061,0.0,0.18444090095450613,0.0,0.4565392304234919,0.0,0.6430605090710545,0.937056556018408,0.0,0.8755021037600361,0.10457516139244878,0.9308792195687973,0.0,0.0,0.5731441147946574,0.0,0.9162929012767671,0.49578206851286605,0.0,0.13180269838153907,0.20130003161069748,0.6829048551484551
16,0.13977996014304214,0.22405100241303444,0.37198999150589973,0.0,0.0,0.7720975890248227,0.0,0.9191060803565053,0.37682933722401535,0.0,0.0,0.33988006496912343,0.8025101182771026,0.6578187976998782,0.0,0.4513169588088936,0.0,0.5327066313744725,0.0,0.6913946397597479,0.9171438785628764,0.0,0.827378864801774,0.413562015774381,0.9437072034611973,0.0,0.0,0.7329549472181927,0.0,0.9283967492491041,0.4864147686234995,0.0,0.10835642139390098,0.27832452864444523,0.7237801329648567
17,0.13594359216781762,0.20979589372873306,0.38553590093929807,0.0,0.0,0.8731578872166695,0.0,0.9229124010744754,0.5253455684579823,0.0,0.1978254147609936,0.37037868412930874,0.7578039052313733,0.6657187554933892,0.0,0.5018417344805446,0.0,0.5442606826050438,0.0,0.6961543338208027,0.928377017695657,0.0,0.8536218950728814,0.4466927232461533,0.9408877497358121,0.0,0.0,0.5246242168042152,0.0,0.9115704449298867,0.5108690742587119,0.0,0.16166467794873887,0.30818907397520334,0.6952525891196949
