epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,2.1307908715782586,3.6683103322982786,0.006526564897729131,0.0,0.0,0.0,0.0,0.09512280707049334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009741552615288954,0.0,0.0,0.0,0.10389089723548121,0.0,0.0,0.0,0.0,9.481980606869663e-05,0.0,0.0,0.0,0.0,0.0
2,2.041719227046757,2.0740949869155885,0.008304042016157726,0.0,0.0,0.0,0.0,0.0004995243794258285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2652153198786852,0.0,1.4500258936198916e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.8922404967821562,2.157600927352905,0.010563427624588293,0.0,0.0,0.0,0.0,0.050025787376529386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2809297526077604,0.0,0.0,0.0,0.005779975256802544,0.0,0.0,0.0,0.0,0.0012941687457329793,0.0,0.0,0.0,0.0,0.0
4,1.8339585825637146,1.9262204051017762,0.01800353494179576,0.0,0.0,0.0,0.0,0.11348490704960845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032084675377957006,0.0,0.0,0.0,0.14505035736374394,0.0,0.0,0.0,0.0,0.28549317834615495,0.0,0.0,0.0,0.0,0.0
5,1.7318731559501899,1.9655355215072632,0.03399198408439526,0.0,0.0,0.0,0.0,0.25090161081947293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3101294144900571,0.0,0.00275406463866282,0.0,3.210405901997138e-05,0.0,0.0,0.0,0.0,0.5239262966934354,0.0,0.0,0.0,0.0,0.0
6,1.71620005434686,1.783851182460785,0.03569152835428274,0.0,0.0,0.0,0.0,0.2575001238311842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35793973206900886,0.0,0.00041507605460382017,0.0,1.5977503677378655e-06,0.0,0.0,0.0,0.0,0.5262723776318832,0.0,0.0,0.0,0.0,0.0
7,1.8035661388229538,1.7960267186164856,0.04066469979047055,0.0,0.0,0.0,0.0,0.34398102041916023,0.0,0.0,0.0,0.0,6.479621594297687e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4169389101852584,0.0,0.0,0.0,0.00013529169820186522,0.0,0.0,0.0,0.0,0.5402086913708427,0.0,0.0,0.0,0.0,0.0
8,2.2117022983320465,2.0909340500831606,0.014561333270587562,0.0,0.0,0.0,0.0,0.06784426155128065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30330364142416205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09481476168335928,0.0,0.0,0.0,0.0,0.0
9,1.9586072374176193,1.9356413722038268,0.026407894052421756,0.0,0.0,0.0,0.0,0.09620332647053116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37026421753898353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37858506566798134,0.0,0.0,0.0,0.0,0.0
10,1.6783410061846722,1.7270012497901917,0.04087583541086227,0.0,0.0,0.0,0.0,0.31402031397445895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43549370840614354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55851271076699,0.0,0.0,0.0,0.0,0.0
11,1.5876304081508092,1.648698592185974,0.0436691634319505,0.0,0.0,0.0,0.0,0.36186591306462634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4571187898592691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5784285268985205,0.0,0.0,0.0,0.0,0.0
12,1.550335244818048,1.6302656650543212,0.046949146778755016,0.0,0.0,0.0,0.0,0.40091247464521207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4702865470910436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631173675183905,0.0,0.0,0.0,0.0,0.0
13,1.5017844857750358,1.5827017307281495,0.048043694529859134,0.0,0.0,0.0,0.0,0.4171356026430814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4803463089240424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6399163133883685,0.0,0.0,0.0,0.0,0.0
