epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,2.616572385305887,2.5167405366897584,0.03174733427651155,0.0,0.0,0.0,0.0,0.26709364224684146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006480457689313292,0.0,0.0,0.0,0.7231338037822033,0.0,0.0,0.0,0.0,0.01920679313001187,0.0,0.0,0.0,0.0,0.0
2,2.3355454114767222,1.905347192287445,0.03277611476145182,0.0,0.0,0.0,0.0,0.009022165536872018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4131209283236742,0.0,0.0,0.0,0.42104857954266645,0.0,0.0,0.0,0.0,0.20564399896324564,0.0,0.0,0.0,0.0,0.0
3,2.459822476565183,2.073684239387512,0.00636775673888824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005487542346900557,0.0,0.0,0.0,0.03894025586790632,0.0,0.0,0.0,0.0,0.15934041742961683,0.0,0.0,0.0,0.0,0.0
4,2.3844140597752164,2.0590445041656493,0.010982863574510048,0.0,0.0,0.0,0.0,0.2513281071652615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006972357574379409,0.0,0.0,0.0,0.06393635011457248,0.0,0.0,0.0,0.0,0.02921481953010811,0.0,0.0,0.0,0.0,0.0
5,2.358434189806928,2.022339379787445,0.01896231479155458,0.0,0.0,0.0,0.0,0.0041658536145201515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30139114303744746,0.0,0.0,0.0,0.16815292292108683,0.0,0.0,0.0,0.0,0.13308415375669205,0.0,0.0,0.0,0.0,0.0
6,2.294640001359877,1.96512051820755,0.021585649779448393,0.0,0.0,0.0,0.0,0.02413502944339153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3057677590000124,0.0,0.0,0.0,0.2611888424221943,0.0,0.0,0.0,0.0,0.09964916207675029,0.0,0.0,0.0,0.0,0.0
7,2.2704208997579722,1.9417999863624573,0.022635845194242738,0.0,0.0,0.0,0.0,0.01740735657040569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3071724138260957,0.0,0.0,0.0,0.3120087107275039,0.0,0.0,0.0,0.0,0.08775856509176219,0.0,0.0,0.0,0.0,0.0
8,2.2573290788210354,1.94544677734375,0.020660728846967694,0.0,0.0,0.0,0.0,0.012336949627787815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30733416608168923,0.0,0.0,0.0,0.29380207250073676,0.0,0.0,0.0,0.0,0.04767013489275239,0.0,0.0,0.0,0.0,0.0
9,2.2513754734626183,1.9407662391662597,0.0223970946174997,0.0,0.0,0.0,0.0,0.02009607057894692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3071064385172538,0.0,0.0,0.0,0.3202997180159609,0.0,0.0,0.0,0.0,0.06920480064782872,0.0,0.0,0.0,0.0,0.0
10,2.24991883288373,1.9382473945617675,0.022835181422637914,0.0,0.0,0.0,0.0,0.01743444926374621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3080794422831033,0.0,0.0,0.0,0.3283713631497166,0.0,0.0,0.0,0.0,0.0768405508278472,0.0,0.0,0.0,0.0,0.0
11,2.248758261020367,1.9366888403892517,0.022977097658054883,0.0,0.0,0.0,0.0,0.021416081918865418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3081142584760685,0.0,0.0,0.0,0.32971277235781704,0.0,0.0,0.0,0.0,0.07602401230500543,0.0,0.0,0.0,0.0,0.0
