epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,0.936341290290539,0.9203222930431366,0.11262564873597862,0.0,0.0002657155046048679,0.1352264798332792,0.0,0.22536668354887418,0.04780657526786777,0.00024983706292083265,0.0012408610808252263,0.009372307019125888,0.04287121601015814,0.23125890641758357,0.0,0.009761071243172397,0.0,0.014458640139527143,0.0,0.04041102453026337,0.6982723822242478,0.0,0.6081114672311891,0.0005534704689518584,0.884081578541865,0.0,0.0,0.043663222970353986,0.0,0.5511583272126044,0.011687155610622576,0.0,0.0031804794226041678,0.0062986997632224085,0.038724658447452626
2,0.9270838151921282,0.9156779885292053,0.1436085103965869,0.0,0.0,0.272315922924924,0.0,0.3929832795448836,0.04516383443724975,0.00016155988866939271,0.00802669047703736,0.010232026615363102,0.09175658166245014,0.3086472003790844,0.0,0.017721833277909816,0.0,0.06359212064332762,0.0,0.045371039564146384,0.7982245334105859,0.0,0.7294974866110122,0.002267274233847747,0.9202607008903702,0.0,0.0,0.06835789450249023,0.0,0.6875686706248119,0.018929747504792777,0.0,0.003643119954557514,0.026743362618027854,0.08400745292523842
3,0.9236210014793899,0.9134991705417633,0.16805640892372214,0.0,0.0,0.3185813416669748,0.0,0.5290958347381061,0.05056799534606712,2.8500178146419794e-05,0.01658336007119316,0.020844345808928248,0.19795976838331802,0.34894970507102985,0.0,0.04185473296982277,0.0,0.12215124822115923,0.0,0.049455880794209116,0.8227343525976888,0.0,0.7484790811499465,0.006283386938366446,0.9210239227788739,0.0,0.0,0.0956755897673929,0.0,0.8074552750746997,0.03788849763966633,0.0,0.019152750054621373,0.0907638767469078,0.13227563956198982
4,0.9213701755135923,0.9113254010677337,0.19100970761574604,0.0,0.0,0.4519005641579528,0.0,0.6582127368446427,0.067340394198531,0.00015201586262525833,0.023659947472704144,0.023507826854067826,0.32806201992909345,0.3484894628304742,0.0,0.07484317599520214,0.0,0.15187307457467938,0.0,0.07182675203180401,0.7793001663930156,0.0,0.7416337138859362,0.015306981354416414,0.9266144274107889,0.0,0.0,0.1438872835497497,0.0,0.8783784305379857,0.06072470309122816,0.0,0.02824308530830393,0.14127564097769013,0.19707824044298158
5,0.9196847172883841,0.9096873521804809,0.20467373162611818,0.0,0.0,0.4893488383871132,0.0,0.6981926863674826,0.10801871029330876,0.0002857328399803447,0.022987215533376827,0.022710080796499617,0.3630438494608685,0.35009765425866834,0.0,0.08629141931815446,0.0,0.17503949691843634,0.0,0.09591132266311458,0.8040232989311263,0.0,0.771605543805457,0.025627346175827626,0.9333084742855607,0.0,0.0,0.16693938560990856,0.0,0.8958207507469267,0.09375304746827484,0.0,0.03243312372683216,0.1596881485990138,0.2544332858498506
6,0.9182351441173763,0.9082033276557923,0.2191953602815439,0.0,0.0,0.5149848383965988,0.0,0.742971461787679,0.08651202067075901,0.0002735882148534467,0.02847271777620803,0.031196248255717502,0.4707527163300875,0.3861878638300824,0.0,0.10987832343716117,0.0,0.17645918736862318,0.0,0.09425010896714814,0.8412349476234613,0.0,0.8079745338213835,0.02431131947386438,0.9337512763132974,0.0,0.0,0.22329370437162196,0.0,0.9101151208317697,0.08830406844133151,0.0,0.03813482398100256,0.17864145420599567,0.32655120491075895
7,0.9169094195732703,0.9071652293205261,0.2201574387288189,0.0,0.0,0.5068459659141425,0.0,0.7629166106819174,0.0890149012250643,0.00027686703116711623,0.027424205330901008,0.035927251217629026,0.48089033652949587,0.31752334671381444,0.0,0.103843559302254,0.0,0.2028966816061261,0.0,0.10248209470515476,0.8282532037103468,0.0,0.7796310208950944,0.02652484227255832,0.9300155716979166,0.0,0.0,0.20344616655799652,0.0,0.9108696313727622,0.09257945382877583,0.0,0.043402376792920264,0.19514542201288285,0.4051285299232849
8,0.9156480431556702,0.9056690454483032,0.23176652697428754,0.0,0.0,0.5264679226238501,0.0,0.7713097324339915,0.11730545238827368,0.0003604570905441039,0.027362936300773334,0.03954379750642898,0.5647040288920474,0.37261601406851996,0.0,0.1333792943864475,0.0,0.1615277400062301,0.0,0.10262360829151043,0.8392159861938758,0.0,0.819445710198733,0.038401037825151044,0.9311978606861657,0.0,0.0,0.2619733840058527,0.0,0.9164237472253515,0.1023397202438604,0.0,0.052388534705395354,0.20472943105441588,0.4332124670497833
9,0.9144210252133045,0.9045026421546936,0.23348642126203,0.0,0.0,0.5313260921414916,0.0,0.7846977097642405,0.13313340510372984,0.0003638844669576867,0.026627382715783344,0.047249179471157546,0.5379827901323836,0.3511666167216439,0.0,0.12446116906171342,0.0,0.1997151695067489,0.0,0.13148525427438193,0.8486348546493903,0.0,0.806517486938587,0.038076954569622096,0.9336048088332051,0.0,0.0,0.2185240405459937,0.0,0.9160617591952549,0.11024502036024372,0.0,0.06051619233517549,0.19520374529898793,0.475971964298268
10,0.9132039861364679,0.9028250455856324,0.24361068506446046,0.0,0.0,0.6261666344337038,0.0,0.8188032871283534,0.15302991197735033,0.00038715706587487956,0.02799146641002387,0.05520271644424877,0.5832795962924783,0.40155474872223607,0.0,0.13966693335274477,0.0,0.16347762513284986,0.0,0.16833696373141535,0.8331671533118741,0.0,0.8101307263216979,0.053207966810772465,0.9346115226104414,0.0,0.0,0.24218307409746762,0.0,0.9197167785060373,0.12119092787063931,0.0,0.06812907194783155,0.21073902053489174,0.46456863935980175
11,0.9119779840930478,0.9019580245018005,0.23841027675332124,0.0,0.0,0.5612085199672556,0.0,0.762412127325778,0.14310796316995772,0.0004684875810735328,0.03544373711678355,0.05090833798169505,0.5985227149448572,0.37272820070203616,0.0,0.14618697111854403,0.0,0.16310004877384504,0.0,0.1331837538899931,0.8342486117937551,0.0,0.8261708841291288,0.059102685051187744,0.9351785165149702,0.0,0.0,0.26135325363925993,0.0,0.9237880074188201,0.09215641138325084,0.0,0.06366135052014057,0.21266963452012408,0.4535286385638244
12,0.9107451550253145,0.9006963670253754,0.24167428757238762,0.0,0.0,0.5806314726759677,0.0,0.8025819915332095,0.15466082916189594,0.0004654193432611182,0.032858617830005946,0.0630743182497858,0.6185919543375089,0.3674452142900698,0.0,0.1487223506068857,0.0,0.16375877457584237,0.0,0.16548325730242158,0.8187053352443613,0.0,0.8102170952616345,0.0636265346923447,0.9325125750516783,0.0,0.0,0.2503417865624641,0.0,0.9219337713254914,0.09372015073992619,0.0,0.06795040775614748,0.21166393071083575,0.4646314150646645
13,0.9094775102950714,0.8990327000617981,0.24806570539816758,0.0,0.0,0.6288381141927414,0.0,0.8225960961392739,0.17206867495916245,0.0004022465091091731,0.028244295746075572,0.06673554964334935,0.6321952417725462,0.3879078129562279,0.0,0.15568561509086515,0.0,0.1702845041190088,0.0,0.18332350265525982,0.8361305374566056,0.0,0.8217831782315217,0.06672577923667308,0.9373262300461453,0.0,0.0,0.2550325046591374,0.0,0.9258492507660314,0.10071998210334183,0.0,0.0689757983083967,0.21039930648796706,0.46687835166192404
14,0.9081938135754931,0.897691524028778,0.25180796647118486,0.0,0.0,0.6639424133875304,0.0,0.8470738757952201,0.1835713530653281,0.0004427227452893587,0.03007478146676757,0.06922115250750871,0.6152085329579846,0.3882319462678572,0.0,0.14755623052923522,0.0,0.19079424430247455,0.0,0.22406698375912876,0.8409754735089191,0.0,0.8324407523516573,0.07051536992571594,0.9350604759352024,0.0,0.0,0.21859482591619658,0.0,0.922828417175551,0.10429622397593766,0.0,0.07515319024081263,0.20634398851183583,0.4914619727517624
15,0.9068965178269607,0.8963446676731109,0.25384324201956887,0.0,0.0,0.6331945213247223,0.0,0.8456874354830182,0.20484112699562332,0.0006553230635264693,0.029837216929522715,0.0728897363069613,0.6367579501146651,0.4135262733479651,0.0,0.16153086781070924,0.0,0.18635327423472547,0.0,0.21832283216931545,0.8465215792634702,0.0,0.827979885750603,0.07509603599641641,0.9360458676216558,0.0,0.0,0.2395048425069673,0.0,0.9242439276469929,0.10054231336772079,0.0,0.06770782839535447,0.20333249870853817,0.4984124075877311
16,0.9055578512149852,0.8957186162471771,0.24670751667780114,0.0,0.0,0.5271608252646269,0.0,0.7930012957078698,0.19245881699612846,0.0004835589947818653,0.027775608376403443,0.07160053107092336,0.6448357711695067,0.3535886794279774,0.0,0.16343271035747153,0.0,0.22156468563274023,0.0,0.18789914879669073,0.8420846688260386,0.0,0.8228935579344185,0.08137209193302074,0.9379384524174824,0.0,0.0,0.2376769924755703,0.0,0.9272718477175195,0.0869772583394853,0.0,0.062021335177923895,0.20292396773174542,0.5096787293413104
17,0.9042019071159783,0.8936199903488159,0.2520936109758888,0.0,0.0,0.6346610104796804,0.0,0.8400801292003836,0.18989899260135085,0.00043735528722867276,0.03736018022170564,0.08149356176148934,0.6559190759873849,0.3911594129186387,0.0,0.16850764229867848,0.0,0.1904128275820853,0.0,0.19745214523457022,0.837935852025821,0.0,0.8257153687030027,0.07597353260131437,0.9374617299789172,0.0,0.0,0.2356842641867809,0.0,0.9275228062077593,0.07220039031044997,0.0,0.05900131804010093,0.21516655600470438,0.49295139959639317
18,0.9028030181979085,0.8922125101089478,0.2560284848159303,0.0,0.0,0.6649871876839056,0.0,0.8492579571172874,0.2274511297861815,0.00047705371670361005,0.028326772427217817,0.08160449076469566,0.6516217306374852,0.40407179014652145,0.0,0.16580514857418432,0.0,0.20642827562880345,0.0,0.20603730336076848,0.8353262791483675,0.0,0.8177211580364435,0.08218977991228048,0.9350867492175651,0.0,0.0,0.2253134588121032,0.0,0.9259916599853353,0.10888048980530533,0.0,0.06231296313723912,0.214419646362542,0.49960048984883193
19,0.9013928122572846,0.890701299905777,0.2590904441331092,0.0,0.0,0.6137625432963254,0.0,0.8503534060953772,0.25161474036713144,0.0007228915672327865,0.030040011989959547,0.08411814458068673,0.6717477405749885,0.4079733990978192,0.0,0.16087731616233789,0.0,0.2136208413580801,0.0,0.22801122863988682,0.8526889269481931,0.0,0.8442369739985663,0.08667348900978063,0.9369304282753734,0.0,0.0,0.24318904425713045,0.0,0.9265200659209469,0.10457933797030035,0.0,0.05895142776620099,0.2079652253294097,0.5163170290537678
20,0.8999394322489644,0.88974848985672,0.2534673243826721,0.0,0.0,0.5910461682416004,0.0,0.8452885477632883,0.2183067094631427,0.0005596269161354122,0.03139605826031078,0.08549889774586392,0.6579616048362599,0.36154813500664,0.0,0.1426996390956206,0.0,0.2390658487274116,0.0,0.21436836655758137,0.857539237369546,0.0,0.8289433872442327,0.08711790896412648,0.9312567299772725,0.0,0.0,0.2059131605429924,0.0,0.923655092220757,0.09958941723880833,0.0,0.05391770283870767,0.2033404930887511,0.5319416481464592
21,0.8984658770508819,0.8883016765117645,0.25861823409773554,0.0,0.0,0.5878535721629866,0.0,0.8411408199496535,0.2577809203265409,0.00067250547493354,0.025652062225586462,0.08663597808752818,0.6710740191441648,0.39173761135761176,0.0,0.1471909940783989,0.0,0.24548343101956993,0.0,0.24965788501051342,0.8672799722099904,0.0,0.8381335824486709,0.08688190048270307,0.9375374073606896,0.0,0.0,0.20060709162752982,0.0,0.9273037133905875,0.11775983736872549,0.0,0.059081170962338794,0.20923797530008614,0.5270810411387266
22,0.8969536489182777,0.8864187479019165,0.2620597069393543,0.0,0.0,0.6638288031831681,0.0,0.865262960757974,0.26928228895807715,0.0005856697826612707,0.02961218969225356,0.08695552898694962,0.6817184810340042,0.4016477968119257,0.0,0.1453179473247501,0.0,0.2228325398900673,0.0,0.24696211518953987,0.8578189365766106,0.0,0.8515315167885869,0.09139597181492765,0.935660435550249,0.0,0.0,0.2107576314110758,0.0,0.9244566975483555,0.1194482604315995,0.0,0.05577172747768042,0.2107985782077638,0.5142645446411179
23,0.8954240679740906,0.8852589964866638,0.2587876515968686,0.0,0.0,0.5842593635592751,0.0,0.8584431024127159,0.2611889907903833,0.0005761735308865845,0.03039056399432876,0.09150075407468151,0.6685622673151823,0.38933810543179437,0.0,0.12866232357568833,0.0,0.2517646072387779,0.0,0.2503412395311667,0.8659816789751332,0.0,0.8494226606410592,0.09451479588499812,0.9345253523756705,0.0,0.0,0.18558232748522854,0.0,0.9258885687514592,0.11814035143797952,0.0,0.05713226176603459,0.19292090993972486,0.542068452387627
24,0.8938709739800338,0.883142101764679,0.2631747462424431,0.0,0.0,0.6428150329787062,0.0,0.8822165647311693,0.25736594490529674,0.0004408772331459159,0.02725055069306233,0.09888892578724391,0.66422765940985,0.4069511415595655,0.0,0.14769451081103585,0.0,0.24325749932752064,0.0,0.2650733086045737,0.8636303249951516,0.0,0.8608691826533283,0.09731576342993523,0.9401191578623335,0.0,0.0,0.1790629016377429,0.0,0.9291356044277428,0.11095072659977219,0.0,0.05910527561785933,0.20651244725410384,0.5387084792390384
25,0.8922899764972728,0.8823500335216522,0.2604728962924479,0.0,0.0,0.585765196740162,0.0,0.8412268022973077,0.2941970428726461,0.0007572570482904018,0.028902041557292875,0.08265542760770098,0.6740611058708667,0.40739075233280964,0.0,0.1343290203966067,0.0,0.2570563700208709,0.0,0.2424926540371218,0.8732278673415126,0.0,0.8476200236273389,0.10452438645211055,0.9410405288058378,0.0,0.0,0.17889486948661162,0.0,0.9293737427395692,0.13651530092630354,0.0,0.05840366196472646,0.1978530634532134,0.5188455657794321
26,0.890701969246288,0.8802652895450592,0.2662080327563733,0.0,0.0,0.6339151392940398,0.0,0.8688697495994797,0.31925003442714006,0.0008104368468282996,0.029073796659612676,0.09567953156413234,0.6902207734889905,0.4246909070012457,0.0,0.15099020600211607,0.0,0.23812927327528793,0.0,0.2480299402575325,0.874538670587693,0.0,0.8554645486228983,0.09945277961622515,0.9411517244287826,0.0,0.0,0.20657311238306386,0.0,0.9295115254366049,0.12539863867595505,0.0,0.05764221575781844,0.20101994002603027,0.5282441042524678
