epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,0.9512060743111831,0.9400013625621796,0.004029598836511005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03183425691873046,0.0,0.0,0.0,0.0,0.0030382935466438986,0.0,0.0,0.0,0.0,0.09407461230297778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.94257141993596,0.9315349698066712,0.004323357218598573,0.0,0.0,0.0,0.0,0.04418755250891644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5620144314906e-05,0.0,0.09408425834192298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.9387993819110996,0.9312902748584747,0.0047478327344381566,0.0,0.0,0.03616898232360847,0.0,0.0,0.0038271823381664434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.922462444345288e-06,0.0,0.006459076371835312,0.0,0.10547048400596644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.942379830957769,0.9049784123897553,0.007970626266029667,0.0,0.0,0.0,0.0,0.25506004051294934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.6952475735119411,0.7473213791847229,0.0008689959490866463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027807870370772682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.6759194987160819,0.7473213851451874,0.0008689959490866463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027807870370772682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.6759194987160819,0.7473213851451874,0.0008689959490866463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027807870370772682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.6759194987160819,0.7473213851451874,0.0008689959490866463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027807870370772682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.6759194987160819,0.7473213851451874,0.0008689959490866463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027807870370772682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.6759194987160819,0.7473213851451874,0.0008689959490866463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027807870370772682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
