epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,0.9462690667791681,0.944149500131607,0.004071582270757322,0.0,0.0,0.0,0.0,0.0,0.003943590381964091,0.0,0.0,0.00019930244170316696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9315499175108545e-06,0.0,0.0,0.12602609565883743,0.0,0.0,0.0,0.0,0.0,0.0,0.00011571263181209932,0.0,0.0,0.0,0.0,0.0
2,0.936558947458372,0.9239815831184387,0.0056198115551110445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05912517943036065,0.0,0.0,0.0,0.0,0.0,0.0,5.954153039458628e-05,0.0005754974439367787,0.0,0.1200737513588614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.9329388921077435,0.932181978225708,0.0256785537672993,0.0,0.0,0.0,0.0,0.038209124306330736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4748419585542429,0.0,0.03599604005512665,0.0,0.0,0.0,0.0,0.0,0.0,0.2726665976378771,0.0,0.0,0.0,0.0,0.0
4,0.9302211705144945,0.9292706549167633,0.02587528980502078,0.0,0.0,0.0,0.0,0.07125507911313463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010480418409404067,0.3720992206773122,0.0,0.0005885959639080041,0.0,0.0,0.0,0.0,0.0,0.0,0.38301833616536984,0.0,0.0,0.0,0.0,0.0
5,0.9284756249123878,0.9287469923496247,0.02055655141449464,0.0,0.0,0.0,0.0,0.2374700623595282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004375790086396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4159637928179043,0.0,0.0,0.0,0.0,0.0
6,0.9277913033307253,0.9285532593727112,0.020035157658234364,0.0,0.0,0.0,0.0,0.230812640586391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036662991361784843,0.0,1.544807131068359e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.4066445605337991,0.0,0.0,0.0,0.0,0.0
7,0.9264267945027613,0.9260775327682496,0.018959354612784512,0.0,0.0,0.0,0.0,0.21855055200574713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002370381508210707,0.0,3.089614262136718e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.38790866783827405,0.0,0.0,0.0,0.0,0.0
8,0.9247694028602852,0.9257747769355774,0.018639559468241022,0.0,0.0,0.0,0.0,0.2144138952442846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3381058726791242e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38203862668070143,0.0,0.0,0.0,0.0,0.0
9,0.9246224584160271,0.9257059991359711,0.018820087575655765,0.0,0.0,0.0,0.0,0.21683721092516825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1699044263530716e-05,0.0,1.544807131068359e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.38539234764442154,0.0,0.0,0.0,0.0,0.0
10,0.9245764285653502,0.9256690204143524,0.018973382216854632,0.0,0.0,0.0,0.0,0.21883037538882508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.976635683171562e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3883078789148399,0.0,0.0,0.0,0.0,0.0
11,0.9245532548034584,0.9256480515003205,0.0189684356184864,0.0,0.0,0.0,0.0,0.2187674556766841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.118951506008394e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38821536516337474,0.0,0.0,0.0,0.0,0.0
12,0.9245381839982756,0.925639671087265,0.018966681500328826,0.0,0.0,0.0,0.0,0.21874299490112686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.118951506008394e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38818369415788967,0.0,0.0,0.0,0.0,0.0
