epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,0.9465060856316115,0.9469295799732208,0.0011022540330659313,0.0,0.0,0.0,0.0,0.0,0.012539829624325502,0.0,0.0,0.0005958686448568176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02212042419469911,0.0,0.0,0.0,0.0,0.0,0.0,1.6006594228368828e-05,0.0,0.0,0.0,0.0,0.0
2,0.9427067192046197,0.940801590681076,0.0038688791874445716,0.0,0.0,0.0,0.0,0.0,0.005897260349271678,0.0,0.0,0.0008647140876774255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11704215956127717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.935431467962789,0.9231728255748749,0.00046965212920830647,0.0,0.0,0.0,0.0,3.3373696245381615e-06,0.015025530765041267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.9212648894760634,0.9150528967380523,0.0004718650535369193,0.0,0.0,0.0,0.0,0.0,0.015099681713181417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.9164287395529694,0.9099956572055816,0.0004720622024000161,0.0,0.0,0.0,0.0,6.299828894410875e-06,0.015099690647906108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.9132800285632794,0.9079541206359864,0.0004718634148005981,0.0,0.0,0.0,0.0,1.922014907049539e-06,0.01509770725871209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.9084222945538196,0.9068378627300262,0.0004734140633640199,0.0,0.0,0.0,0.0,0.0,0.015098031719397931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.121830825070907e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.9070639865739005,0.9068165242671966,0.0052995779706220885,0.0,0.0,2.8269998163736293e-05,0.0,0.0003953728478673003,0.016587840569643332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1525750116442325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.9055078278531085,0.8990001678466797,0.009111658371296474,0.0,0.0,0.0,0.0,0.17704287171191913,0.00039394465275404273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11413625151681399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.9018154091887421,0.8970185399055481,0.011469072493776766,0.0,0.0,0.0,0.0,0.2439018545868478,0.00038047030369934973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12272799491030943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
