epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,0.48198121589618725,0.8450854301452637,0.07646193411035658,0.0,0.0,0.06207029083195429,0.0,0.30977615796192676,0.011781774340336856,0.0,0.0,0.0,0.1467512062413005,0.002562453174306755,0.0,0.0,0.0,0.0,0.0,0.0,0.10772756463955262,0.0,0.17703551156837022,0.0,0.9215596387058429,0.0,0.0,0.0,0.0,0.7075172940678193,0.0,0.0,0.0,0.0,0.0
2,0.20545477452841435,0.19486701637506484,0.18813199795506433,0.0,0.0,0.35407857238003215,0.0,0.774874684401312,0.20036524431317831,0.0,0.0,0.0,0.5165334404626414,0.5266946343662464,0.0,0.0,0.0,0.0,0.0,0.004722616322157546,0.7986042351496736,0.0,0.664044260766925,0.0,0.9068116876057077,0.0,0.0,0.0,0.0,0.8760278507816295,0.0,0.0,0.0,0.0,0.39746670801255507
3,0.14332352906138032,0.2430950239300728,0.20111846246385484,0.0,0.0,0.3503357733244879,0.0,0.6647833048607019,0.2647852159725061,0.0,0.0,0.0,0.5449911229304061,0.5701159614962451,0.0,0.0,0.0,0.08298900125449722,0.0,0.0,0.8276088072904024,0.0,0.6634371515697407,0.0,0.9281170975831593,0.0,0.0,0.23362879200367295,0.0,0.9053238084752179,0.0,0.0,0.0,0.09470936211536404,0.3049653999669543
4,0.10958644559422692,0.11040648892521858,0.2537816950162249,0.0,0.0,0.5679346710296816,0.0,0.8762776259295343,0.40124080510480126,0.0,0.0,0.00288586916608947,0.6862927819932366,0.5508607501316422,0.0,0.0,0.0,0.3229774782996463,0.0,0.20802303960176416,0.849232164923117,0.0,0.6622966742861677,0.0,0.916419038212657,0.0,0.0,0.488594652178752,0.0,0.9031314764775843,0.0,0.0,0.0,0.2038197217599214,0.4810274914246012
5,0.08813761039585857,0.1372317261993885,0.24160194288564427,0.0,0.0,0.7042190849195287,0.0,0.8208242805800448,0.44285057121331367,0.0,0.0,0.006276967025903276,0.4442570017628681,0.5586212277627959,0.0,0.0,0.0,0.329241610334515,0.0,0.19012445624367924,0.8549589842577341,0.0,0.6395954503249114,0.0,0.9347502534015911,0.0,0.0,0.35854992631309485,0.0,0.8004787444074305,0.08343039170229469,0.0,0.0,0.09279754764453782,0.4702856744463733
6,0.07945040748505802,0.08290106132626533,0.291056057926372,0.0,0.0,0.7147603998562743,0.0,0.8830764748315619,0.46526176423845145,0.0,0.0,0.011822000491866932,0.5752421177875744,0.6229366366295938,0.0,0.0,0.0,0.41810766025858503,0.0,0.4214339774369006,0.900607709296405,0.0,0.789595158528836,0.0,0.9348620518733041,0.0,0.0,0.6097084278206909,0.0,0.9187883213820438,0.27927846255991434,0.0,0.0,0.21910359862807302,0.5492090920238302
7,0.0638533136346838,0.06485345214605331,0.31553184059118733,0.0,0.0,0.7781571509499852,0.0,0.9241500647900753,0.5268751177425831,0.0,0.0,0.13713953896325332,0.7930484000631077,0.632191524972239,0.0,0.0,0.0,0.46264879794549685,0.0,0.5217112443827893,0.8870065843233139,0.0,0.7535072078423231,0.0,0.9375608692035404,0.0,0.0,0.6991994614865856,0.0,0.9238908804523147,0.22886463864934306,0.0,0.0,0.2413486318879925,0.6497187852630498
8,0.054015496888986,0.06337116397917271,0.32393153430869115,0.0,0.0,0.8047194739855552,0.0,0.9312408306560602,0.5355002560201767,0.0,0.0,0.08107497733029968,0.7974644515757408,0.5910150684251438,0.0,0.013241282518614159,0.0,0.4703417844937503,0.0,0.5493149870650541,0.8875650583360155,0.0,0.8025244543923499,0.0,0.9354694729927484,0.0,0.0,0.7311708293419712,0.0,0.9230560560009069,0.3661927127089116,0.0,0.0,0.2644533265733209,0.6814640754614971
9,0.047841433845051046,0.05469266846776009,0.34769400273320306,0.0,0.0,0.8288988581619495,0.0,0.9370183805335792,0.5325353504572274,0.0,0.0010672358705147906,0.24076534580868686,0.8279800096044185,0.663705437927595,0.0,0.22609934112057428,0.0,0.48393683368148244,0.0,0.6064346842657937,0.9136703990660612,0.0,0.8131070559187273,0.0,0.9301246060932241,0.0,0.0,0.7475069446654018,0.0,0.9221569337014254,0.3935093287971637,0.0,0.07172785345606149,0.27129845461818947,0.7146650337144219
10,0.04260686117705408,0.06301775239408017,0.32941644850086577,0.0,0.0,0.8282831616632487,0.0,0.9270578052806113,0.41114308111334985,0.0,0.008044548782898564,0.18697844765325805,0.8252591720926443,0.6193398118052073,0.0,0.029684542207670455,0.0,0.3227237312142432,0.0,0.5808925867515514,0.9064854796904438,0.0,0.8395568334163428,0.0005247376351179732,0.9412228908159538,0.0,0.0,0.7648960428365945,0.0,0.9285240659800108,0.4759497400707682,0.0,0.030850269485155613,0.24079841381794403,0.6731109897146903
