epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,0.4279884921980428,2.356020951271057,0.062423738665402684,0.0,0.0,0.0,0.0,0.07611403276599252,0.010114068677213437,0.0,0.0,0.0,0.11731130553155059,0.0,0.0,0.0,0.0,0.001361239379512788,0.0,0.0,0.0017516535023378126,0.0,0.001580357061406887,0.0,0.8586369372786379,0.0,0.0,0.013696301884512263,0.0,0.8352523034144858,0.0626780669346935,0.0,0.0,0.004705231081274139,0.014358139781267801
2,0.14371343268142953,1.400420618057251,0.08458675766902457,0.0,0.0,0.0013139179459864924,0.0,0.17915896226709285,0.12327960131378171,0.0,0.0,0.0,0.22572928209158122,0.0015321090956927682,0.0,0.00029334115662464405,0.0,0.08764375188652038,0.0,0.03930198011598966,0.0001574321264433517,0.0,0.0,0.0,0.910820006694598,0.0,0.0,0.08665534464905979,0.0,0.7194938470347421,0.17236263539037439,0.0,0.0,0.07681232912939209,0.08222170451090761
3,0.10099037020252301,0.28882661163806916,0.2234574137734359,0.0,0.0,0.3074006692665379,0.0,0.6203793275784966,0.3966705873477063,0.0,0.026287527042232438,0.01402932274550989,0.5263404437675929,0.49774726426540444,0.0,0.00015149176803295363,0.0,0.21677031780231468,0.0,0.16802073258797398,0.7709952200421567,0.0,0.48044713961081076,0.0,0.922944062399686,0.0,0.0,0.5353383555557947,0.0,0.9016575185896846,0.22450939590469926,0.0,0.0,0.18322986287557902,0.35771800159973544
4,0.07567218314487856,0.1170483123511076,0.2794330582379182,0.0,0.0,0.7307502544656672,0.0,0.8985684878955803,0.5056571902381723,0.0,0.0,0.018852520442989556,0.6550183191309935,0.5886785221636365,0.0,0.1111774900724215,0.0,0.35780846639363056,0.0,0.4039365056479989,0.7484535825803135,0.0,0.6373403881130727,0.0,0.9377467400746777,0.0,0.0,0.42922879748373005,0.0,0.877554542849954,0.26220597329853834,0.0,0.0,0.2487927621077438,0.5300873206542621
5,0.06446688233332319,0.06859176494181156,0.314934788383525,0.0,0.0,0.735725228872037,0.0,0.9233573965352692,0.5052338796721,0.0,0.08426516756327365,0.08197395903811464,0.6987034415880536,0.6142847435349619,0.0,0.10156027558388478,0.0,0.47887022406118335,0.0,0.46953374231629885,0.9047482150917258,0.0,0.8120776240587808,0.006338553365686453,0.9327777453814207,0.0,0.0,0.5557464454724779,0.0,0.9122156658783513,0.39493668030013024,0.0,0.02078850058454595,0.23599728060015196,0.6087784587743521
6,0.055833969510846085,0.10118129216134548,0.31886962380146544,0.0,0.0,0.5490437845343747,0.0,0.8548447617340414,0.4081756269649926,0.0,0.20506715305906237,0.08457647789590607,0.7816635280629143,0.6256657441615082,0.0,0.3462511056151397,0.0,0.4275976913012281,0.0,0.3101835546195654,0.900331725659534,0.0,0.809109203698755,0.17427727283668795,0.9410360029355221,0.0,0.0,0.41397531381976876,0.0,0.9141827755277288,0.40775463222412256,0.0,0.1464412678662011,0.2738141974219018,0.6298361417079394
7,0.048111941460724714,0.056405283883213995,0.34799596598767246,0.0,0.0,0.7906985295829423,0.0,0.9253253246747484,0.44028581572151604,0.0,0.2431527381149774,0.21833502242815164,0.7828276990239497,0.6132662243151525,0.0,0.1562122220194872,0.0,0.4724895318178892,0.0,0.5327943876582308,0.9141055173781025,0.0,0.8405606858097496,0.17881925740166288,0.9413864786465082,0.0,0.0,0.6841318965268406,0.0,0.9252426185296085,0.4026361324491762,0.0,0.15879037514437622,0.2796415482803319,0.6351689060821165
8,0.04369990048663957,0.07050059735774994,0.34954711131915406,0.0,0.0,0.8211756265586476,0.0,0.9293315637404176,0.5272961262315856,0.0,0.2556929446238848,0.23572357910896563,0.7648999298314172,0.6060728731611936,0.0,0.20389837022757473,0.0,0.3985619148679736,0.0,0.5151636031929899,0.8818056528786358,0.0,0.7819299425595377,0.21437392881648,0.9388827357768044,0.0,0.0,0.6731653998456566,0.0,0.9284776143728314,0.44069677448872024,0.0,0.14035943691491415,0.30304797312623005,0.6249515718884686
9,0.040681965096475,0.05619612224400043,0.35488037826666163,0.0,0.0,0.8153238486491412,0.0,0.919469846631318,0.5302285085167135,0.0,0.3933331037051309,0.26188606465147785,0.7724450326211806,0.6474530208630654,0.0,0.13634655704330162,0.0,0.5041810381143931,0.0,0.5303425112924572,0.9073745914585011,0.0,0.7969764693379544,0.05952203181121757,0.9381001150787244,0.0,0.0,0.6394276804044626,0.0,0.9275252727779442,0.4657024888986447,0.0,0.17988177498766897,0.2422858893801758,0.6883662583096991
10,0.03736320481850551,0.057581978105008605,0.3737129072719885,0.0,0.0932679238712599,0.846367677242435,0.0,0.9363987267621112,0.5175829280670727,0.0,0.3674621220794197,0.34906968706608554,0.8236640493607856,0.6351203541562975,0.0,0.14552482662692595,0.0,0.47177397381175445,0.0,0.618432555263458,0.8788406659458337,0.0,0.7820924805157549,0.172928135099036,0.942653083886132,0.0,0.0,0.7077697584307098,0.0,0.9294241107325837,0.5623261099302914,0.0,0.1868427214686326,0.2772348958252914,0.7140362465617619
