epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,0.8451311889585558,0.6547674179077149,0.13628078726583664,0.0,0.0,0.413474772046791,0.0,0.7017094211899392,0.00029439224913692705,0.0,0.0,5.9453032458103643e-05,0.004636750331664385,0.0014031596243300718,0.0,0.0,0.0,0.0,0.0,5.6818181979597106e-05,0.8333162964526156,0.0,0.644476668339206,0.0,0.9201864051228819,0.0,0.0,0.0068920871601179864,0.0,0.8320141409470988,0.0001874385822567998,0.0,0.0022246333162583443,0.0,5.275593003854079e-05
2,0.4956595858374795,0.4030369520187378,0.14464340822672098,0.0,0.0,0.5129628960647346,0.0,0.7339754540619863,8.057722081247437e-05,0.0,0.0,0.0,0.0006064876382612465,1.1397959771697703e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.8428048158796375,0.0,0.7341607422657443,0.0,0.9312225113692261,0.0,0.0,0.004800454617818176,0.0,0.8657596856188212,0.0,0.0,0.0010166358642173562,0.0,0.0011874046940403209
3,0.3498180773887005,0.2975496411323547,0.15118614894710664,0.0,0.0,0.5251375588871793,0.0,0.7457804166912625,0.0406233782551108,0.0,0.0,0.0,0.0076232963455251474,0.00012106537551204665,0.0,0.0,0.0,0.0,0.0,2.8360748804199517e-05,0.880714021970711,0.0,0.7888663155969423,0.0,0.9244643088071138,0.0,0.0,0.03307798890339203,0.0,0.8847806515706278,0.00029404715489011665,0.0,0.0009965969883242512,0.0,0.005448759012016673
4,0.2747920594372592,0.23825017511844634,0.20455821397557053,0.0,0.0,0.6380198250026609,0.0,0.8534598872657003,0.4443051059095107,0.0,0.0,0.0,0.6625345603045435,0.08540042906714733,0.0,0.0,0.0,0.0,0.0,0.0003134714741099433,0.887250977156925,0.0,0.8127166664549705,0.0,0.9317523552199528,0.0,0.0,0.1179333439603738,0.0,0.8676545870376179,0.003407997139717238,0.0,0.007305690544463816,0.0,0.23380795068056348
5,0.22016374275579556,0.19383518397808075,0.23591474825109326,0.0,0.0,0.6276831583018869,0.0,0.8938520865300374,0.4192684529609842,0.0,0.0,0.0,0.7435594423888245,0.5217883540138801,0.0,0.0,0.0,1.571091911344999e-05,0.0,0.0010339954550640292,0.9134350592796805,0.0,0.8242106763106571,0.0,0.933697558934014,0.0,0.0,0.14531694291033273,0.0,0.9090889497569508,0.05838241682314869,0.0,0.005845229990425969,0.0,0.5520939094599834
6,0.18234454095363617,0.17166939228773118,0.2524204361650683,0.0,0.0,0.6485835712777701,0.0,0.8919947541130397,0.4628470503365187,0.0,0.0,0.0,0.7484079368133022,0.5739385895324018,0.0,0.0,0.0,0.011927930132892294,0.0,0.021370981474704415,0.9242554543539431,0.0,0.8433717919935569,0.0,0.9289067864107402,0.0,0.0,0.28040820508467734,0.0,0.9170852580692632,0.22778420622613793,0.0,0.004149128106729573,0.0,0.5924223133565083
7,0.15773951900856836,0.14942976757884024,0.2674826846702251,0.0,0.0,0.6391863710680703,0.0,0.9194271041910778,0.45887303012260017,0.0,0.0,0.0,0.7645836073215748,0.5830521360745238,0.0,0.0,0.0,0.27278510522342675,0.0,0.04302477740860592,0.9170752094409329,0.0,0.8246171757805211,0.0,0.9379307812205389,0.0,0.0,0.31953782329632824,0.0,0.9172147727205487,0.3391546713699648,0.0,0.002138508198744215,0.0,0.6208448360097445
8,0.13950364479979316,0.13786063641309737,0.2953950222597851,0.0,0.0,0.72578560540094,0.0,0.9241437742870913,0.4640183845970549,0.0,0.0,0.0,0.7964502943578362,0.6032172675785856,0.0,0.0,0.0,0.40556844823228505,0.0,0.3390219235015242,0.9274431492234865,0.0,0.8466952006775849,0.0,0.9290836625784525,0.0,0.0,0.5345847693754969,0.0,0.9116607545917716,0.4010775646562418,0.0,0.00021893251982619486,0.0,0.6436709807349444
9,0.12627348205545447,0.1378268666565418,0.2975642871663059,0.0,0.0,0.7701710310596321,0.0,0.9110850541769198,0.37349826637532046,0.0,0.0,0.0,0.7546117811657835,0.6145339577216955,0.0,0.0,0.0,0.43196686480042734,0.0,0.3947494690267068,0.9224574086970861,0.0,0.8421336572459275,0.0,0.9377032531782629,0.0,0.0,0.5916933418119393,0.0,0.9237587486539074,0.3980756119678045,0.0,0.0,0.0,0.6556187434403736
10,0.11663832171605183,0.11931894794106483,0.31084681373565404,0.0,0.0,0.7682413213983378,0.0,0.9293122925441519,0.49856878346105893,0.0,0.0,0.0,0.7894244345038287,0.6171844540408995,0.0,2.314814820173182e-05,0.0,0.4590086788064774,0.0,0.46268954707111554,0.9244939275175657,0.0,0.8405651061981544,0.0,0.9375428371254936,0.0,0.0,0.6457023888465788,0.0,0.9194066939904093,0.4859366019938981,0.0,0.0,0.0,0.6689978238947567
11,0.10816955369907422,0.11591794267296791,0.3128499757154085,0.0,0.0,0.7547761147481968,0.0,0.9261061677529897,0.5110349887331499,0.0,0.0,0.0,0.8015506963374606,0.6164024539246188,0.0,4.629629640346364e-05,0.0,0.481860112039597,0.0,0.4905906908207454,0.9223454073904336,0.0,0.8287153562030749,0.0,0.9353385360163976,0.0,0.0,0.6770115822510984,0.0,0.9226284277578658,0.5012649734523883,0.0,0.00012026458280375576,0.0,0.6414071545858484
12,0.10225256172182796,0.10665737316012383,0.3168958790791306,0.0,0.0,0.7867308387992084,0.0,0.9275022355430295,0.5140991223705311,0.0,0.0,0.0,0.8066452098461149,0.616053556827275,0.0,0.00031375390662875173,0.0,0.46720866889380985,0.0,0.5433172627087017,0.9256744728583193,0.0,0.841900585146066,0.0,0.9352770662093647,0.0,0.0,0.6748338453108509,0.0,0.9210945447387984,0.5206238534530987,0.0,3.8535645620561254e-05,0.0,0.6593545782747595
13,0.0960661969096451,0.11192751452326774,0.309539735117831,0.0,0.0,0.7833577005362858,0.0,0.9313534700610004,0.45748131950490417,0.0,0.0,0.0,0.8146772478347664,0.6153891272108452,0.0,0.00012247574587946223,0.0,0.4574177755011612,0.0,0.45367253694715837,0.9183870677945428,0.0,0.8208148631895245,0.0,0.9339193603874707,0.0,0.0,0.6604069689107761,0.0,0.9037671069249547,0.5013919294439406,0.0,0.0,2.59901550663591e-05,0.6530865836223148
14,0.09086110021223079,0.09861833304166794,0.3208009191322614,0.0,0.0,0.8023606424306223,0.0,0.9309235861422709,0.5182321118511877,0.0,0.0,0.0,0.8013670482547978,0.6333625812729347,0.0,0.0017277338903692071,0.0,0.48541154130967057,0.0,0.5961719361808274,0.9327535718243489,0.0,0.8520139360729162,0.0,0.9402939410334799,0.0,0.0,0.6817274590822209,0.0,0.9255203056146584,0.4886833204609441,0.0,0.00041536656016459604,0.010515827817246734,0.6641485024337042
15,0.08569151216319629,0.09852418825030326,0.32433292112305245,0.0,0.0,0.8125457537298146,0.0,0.9309542809008367,0.5096126645023864,0.0,0.0,0.0,0.8163844480285359,0.633097478336677,0.0,0.005746238297414548,0.0,0.49329131482080985,0.0,0.5959695494426598,0.9313453183781831,0.0,0.8488020777035781,0.0,0.9326920161290249,0.0,0.0,0.6636103190856625,0.0,0.907275886553929,0.5054762495677956,0.0,0.004076557900017512,0.10967266787989785,0.6781006546804536
16,0.08077153088627281,0.09347598776221275,0.3303711080146363,0.0,0.0,0.7789874105940154,0.0,0.9323642086606407,0.51989853838624,0.0,0.0,0.0,0.8051948320451539,0.6271306069665177,0.0,0.009943036225639915,0.0,0.49663357836667077,0.0,0.6215883794168435,0.9236401233777158,0.0,0.8371771855366962,0.0,0.940559396312012,0.0,0.0,0.7153241631983656,0.0,0.9285211294571771,0.5380585497981824,0.0,0.0030793778156590775,0.21960158708731478,0.6741733532235166
17,0.07605652576619452,0.0949475459754467,0.33314135005746015,0.0,0.0,0.8181161749856525,0.0,0.927798010409244,0.5265399358970037,0.0,0.0,0.0,0.8041719593875566,0.6255970759255602,0.0,0.025113584642679154,0.0,0.5081408296183396,0.0,0.6344118229126214,0.9154428566191223,0.0,0.8141619816073874,0.0,0.9410837325959152,0.0,0.0,0.7034955653734415,0.0,0.9294157827133619,0.5523096040086924,0.0,0.00540588624303989,0.24527165772136886,0.6840467411777371
18,0.071904886923321,0.08765214458107948,0.33930580194694915,0.0,0.0,0.8207825080160814,0.0,0.9293584830571551,0.5230286986563542,0.0,0.0,0.0,0.8162196249159569,0.630544294580023,0.0,0.061363659286342596,0.0,0.5194883505435096,0.0,0.6445530702497702,0.9273912496832308,0.0,0.840466593103746,0.0,0.9343282574870905,0.0,0.0,0.7182821179514148,0.0,0.9245105751965621,0.5606205979533319,0.0,0.009968495214240682,0.3051857350055726,0.6916933514019884
