epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,1.0862120199989487,0.8418145179748535,0.025352813032363856,0.0,0.0,0.0,0.0,1.96647482872152e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3289524736365551,0.0,1.4253745173575516e-06,0.0,0.4821857933330678,0.0,0.0,0.0,0.0,0.00014835821667437293,0.0,0.0,0.0,0.0,0.0
2,0.9889383754887424,0.6999787390232086,0.013901535753321434,0.0,0.0,0.0,0.0,0.02998824523358991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31154966315854893,0.0,0.0,0.0,0.04059564073490813,0.0,0.0,0.0,0.0,0.06271559497923895,0.0,0.0,0.0,0.0,0.0
3,1.0516409893612286,0.8030333399772644,0.00851920415197825,0.0,0.0,0.0,0.0,0.10668311902688934,0.00450962679498049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028072055223707232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13334973181772694,0.0,0.0,0.0,0.0,0.0
4,0.908698151399801,0.7071951031684875,0.020824450634602486,0.0,0.0,0.030101237113408546,0.0,0.2423099309141159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36802295047619055,0.0,0.0,0.0,0.0,0.0,0.0,0.012843185141498936,0.0,0.009764073219914474,0.00334104344215123,0.0,0.0,0.0,0.0
5,0.927628273492331,0.8990521848201751,0.018911437298143926,0.0,0.0,0.0,0.0,0.23101336796619173,0.0,0.0,0.0,0.0,0.0004225691198517627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020081135446584956,0.0,0.0,0.0,0.0034960568911464847,0.0,0.0,0.0,0.0,0.3501528641168307,0.0,0.0,0.0,0.0,0.0
6,0.8573713590810587,0.576116532087326,0.056053580741667865,0.0,0.0,0.0,0.0,0.18651791698742654,0.0,0.0,0.0,0.001295804439634538,4.5823731204045986e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44337062950978867,0.0,0.0,0.0,0.8742835223199098,0.0,0.0,0.005705665495188971,0.0,0.28249522125021903,0.0,0.0,0.0,0.0,0.0
7,0.7594664116482158,0.6472272515296936,0.028176498887515007,0.0,0.0,0.0,0.0,0.16169762035292493,0.0,0.0,0.0,0.017533810366404175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3755000665716866,0.0,0.0,0.0,2.044204163799653e-05,0.0,0.0,0.0006158982606598656,0.0,0.34628012680716663,0.0,0.0,0.0,0.0,0.0
8,0.7421359531172029,0.5295547872781754,0.06440000551906733,0.0,0.0,0.0,0.0,0.2295903253094614,0.0,0.0,0.0,0.003342764592057584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47092170003152256,0.0,0.0,0.0,0.8960394541879186,0.0,0.0,0.005572430667942157,0.0,0.4553335018212524,0.0,0.0,0.0,0.0,0.0
9,0.7013442057829636,0.5211477190256119,0.06707065583595184,0.0,0.0,0.0,0.0,0.2498795554842244,5.911213575640606e-06,0.0,0.0,8.663337646458566e-05,0.015828550459777484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4828010522097029,0.0,0.0,0.0,0.8922102009950577,0.0,0.0,0.003680201705804565,0.0,0.5017688813058521,0.0,0.0,0.0,0.0,0.0
10,0.6876266349802961,0.5495624840259552,0.06091297695574425,0.0,0.0,0.0,0.0,0.18678341388716224,0.0,0.0,0.0,0.002533025413296604,0.034854424846063985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4454772912242991,0.0,0.0,0.0,0.8815220646916158,0.0,0.0,5.4310930148419455e-05,0.0,0.3979773840204789,0.0,0.0,0.0,1.3347570751032817e-05,0.0
11,0.7372262962571867,0.6334412574768067,0.044609144656792644,0.0,0.0,0.0,0.0,0.16156527109317637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2773584795042091,0.0,0.0,0.0,0.5100019922096687,0.0,0.0,0.0,0.0,0.4785668862103103,0.0,0.0,0.0,0.0,0.0
12,0.7028393286925095,0.5468294590711593,0.043182301057647164,0.0,0.0,0.0,0.0,0.19429152727868468,0.0,0.0,0.0,0.0008881339682423524,0.0007010170981079936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4635725179902649,0.0,3.1664980272721205e-05,0.0,0.26464550999213265,0.0,0.0,0.0,0.0,0.45770326253700394,0.0,0.0,0.0,0.0,0.0
13,0.6740980646112463,0.5164561450481415,0.06830696432169452,0.0,0.0,0.0,0.0,0.2810335218639853,0.0,0.0,0.0,0.0031035231212541135,0.004920110557851163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5150072479569684,0.0,0.021596468227955547,0.0,0.8651357916536317,0.0,0.0,0.000244244654239355,0.0,0.4947819502583388,0.0,0.0,0.0,0.0,0.0
14,0.6621167908658038,0.5040672361850739,0.06913712852506079,0.0,0.0,0.0,0.0,0.27427265985584404,0.0,0.0,0.0,0.001066773637851801,0.007275974776828906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5076686859590922,0.0,0.008652510798771159,0.0,0.8938962762687144,0.0,0.0,0.0004501694472657517,0.0,0.5191050620575774,0.0,0.0,0.0,0.0,0.0
15,0.657968493608328,0.4988622158765793,0.07049732671967192,0.0,0.0,0.0,0.0,0.31735221783148504,0.0,0.0,0.0,0.0005261331120095315,0.006548420567590767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5138765987028573,0.0,0.00017239717591916291,0.0,0.8878171931612313,0.0,0.0,0.00021593845782859667,0.0,0.5294055560205795,0.0,0.0,0.0,0.0,0.0
16,0.6543154618242285,0.501727968454361,0.07066059588337083,0.0,0.0,0.0,0.0,0.2983936849123843,0.0,0.0,0.0,0.0015812650663435137,0.008748461126449392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5191748149763112,0.0,0.01786372083171512,0.0,0.8877412020058537,0.0,0.0,0.0002111578585933792,0.0,0.5274247614902159,0.0,0.0,0.0,0.0,0.0
17,0.6534686664958577,0.49991912841796876,0.06900121162459036,0.0,0.0,0.0,0.0,0.2621892438556153,0.0,0.0,0.0,0.002138759950798837,0.013936217548517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5042353679370388,0.0,0.010143289598314845,0.0,0.8935427139448983,0.0,0.0,0.00015562259756772613,0.0,0.5216975565541409,0.0,0.0,0.0,0.0,0.0
18,0.6510009444676913,0.5012888699769974,0.06868647386314178,0.0,0.0,0.0,0.0,0.2571404467200022,0.0,0.0,0.0,0.0024110451528375427,0.010148139997246126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5054938223103098,0.0,0.010481844744738796,0.0,0.8884236511379477,0.0,0.0,0.0,0.0,0.523868213557455,0.0,0.0,0.0,0.0,0.0
19,0.6480046084948948,0.4944577872753143,0.07058970711551762,0.0,0.0,0.0,0.0,0.3064663105201465,0.0,0.0,0.0,0.002470020299425126,0.011613511098448461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5141815308154148,0.0,0.00336822058488207,0.0,0.8916174634336345,0.0,0.0,6.086427304238754e-05,0.0,0.5290927066715698,0.0,0.0,0.0,0.0,0.0
20,0.6470763552319873,0.4932532399892807,0.0708031815574405,0.0,0.0,0.0,0.0,0.3057658617213667,0.0,0.0,0.0,0.002636794540513539,0.012687543755888852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5146939617089112,0.0,0.0048308446116935915,0.0,0.8932618718888016,0.0,0.0,6.086427304238754e-05,0.0,0.5317640673378776,0.0,0.0,0.0,0.0,0.0
21,0.6469576011647235,0.49364701807498934,0.07084631846682045,0.0,0.0,0.0,0.0,0.3039055812023084,0.0,0.0,0.0,0.0029929583589048494,0.01409179841220091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5150493378284101,0.0,0.006489341302156617,0.0,0.8929106159122993,0.0,0.0,6.086427304238754e-05,0.0,0.5315816936489317,0.0,0.0,0.0,0.0,0.0
22,0.6463992418823662,0.492980295419693,0.07090728953819522,0.0,0.0,0.0,0.0,0.3030317924028815,0.0,0.0,0.0,0.003020243060452091,0.01542935650798179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5134370177878355,0.0,0.00482139623652108,0.0,0.8941657292611354,0.0,0.0,6.0827250978267946e-05,0.0,0.5350602262556514,0.0,0.0,0.0,6.676458810706676e-06,0.0
