epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,1.017469930779803,0.9117809236049652,0.007579853088512967,0.0,0.0,0.0,0.0,0.0013355033811272682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07211317970753464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16910661574375302,0.0,0.0,0.0,0.0,0.0
2,0.9031165550043295,0.8555351138114929,0.018875561581743187,0.0,0.0,0.0,0.0,0.19110816278847081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37665985620985437,0.0,7.922831621590278e-06,0.0,0.015485269062649252,0.0,0.0,0.0,0.0,0.020756759723185993,0.0,0.0,0.0,0.0,0.0
3,0.85704926606063,0.8699043929576874,0.041124860706964014,0.0,0.0,0.0002728279640645732,0.0,0.3178995935682841,0.0003143495755033674,0.0,0.0,0.0,0.01019962656582822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5989758928183477,0.0,4.1282356439726505e-05,0.0,9.511409649266451e-05,0.0,0.0,0.016900152886848173,0.0,0.37129670279104,0.0,0.0,0.0,0.0,0.0
4,0.902191786975651,0.7742609679698944,0.04010481935852163,0.0,0.0,0.0,0.0,0.08549471971537441,2.195567144088877e-05,0.0,0.0,0.005290554071384403,0.0008200574819892143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5758012387783694,0.0,0.12195622122498381,0.0,0.46734836427688126,0.0,0.0,0.0,0.0,0.02539594342873792,0.0,0.0,0.0,0.0012251648235308166,0.0
5,0.8932667079862657,0.5802587151527405,0.07039596990220125,0.0,0.0,0.0,0.0,0.3135468686961108,1.1845534240609768e-05,0.0,0.0,0.02757909080235238,0.030377612274970368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57554353371992,0.0,0.20599877788087434,0.0,0.6335901354603274,0.0,0.0,0.0,0.0,0.4660231725016438,0.0,0.0,0.0,0.0,0.0
6,0.8127170434364905,0.9707882583141327,0.02901282918432991,0.0,0.0,4.806928747655933e-05,0.0,0.251399413883205,0.0,0.0,0.0,0.00010722619837697604,0.0028983156249438543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14924063171831747,0.0,0.05786723521182713,0.0,0.00010090415369741812,0.0,0.0,0.03475898560257265,0.0,0.4038374907145054,0.0,0.0,0.0,0.0,0.028152261503634524
7,0.932089396230467,0.5605885267257691,0.062257772918327195,0.0,0.0,0.0,0.0,0.22969328644739884,0.0,0.0,0.0,0.0021087037196259465,0.027553515857556016,0.0,0.0,0.0,0.0,5.400130964806613e-05,0.0,0.0,0.5245764075548285,0.0,0.04832029807245667,0.0,0.7812202315582267,0.0,0.0,0.0007730564866670302,0.0,0.3779492323800626,0.0,0.0,0.0,0.0,0.0
8,0.7416964893812662,0.5108544141054153,0.06603908454566776,0.0,0.0,0.0,0.0,0.26852397627453356,0.0011728732783649436,0.0,0.0,0.00016693811601766595,0.009397351797903778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5901041800291086,0.0,0.1806597920527134,0.0,0.6937110230960838,0.0,0.0,0.0020248500997649198,0.0,0.3673176443761825,0.0,0.0,0.0,0.00017207634069483184,0.0
9,0.79764988723692,0.8672095715999604,0.021422536764792045,0.0,0.0,3.622236609631886e-05,0.0,0.23350146553618792,0.0,0.0,0.0,0.0,0.02253464137791341,0.0,0.0,0.0,0.0,5.0552514783645005e-05,0.0,0.0,0.05535172766578476,0.0,1.5256228357553547e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.37404504138974354,0.0,0.0,0.0,0.0,0.0
10,0.8786164417371645,0.5919912993907929,0.04875877255201099,0.0,0.0,0.0,0.0,0.24580010288104887,0.0,0.0,0.0,0.0,0.0004938743849786536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49286758665351843,0.0,0.0788037582940408,0.0,0.5931257641666065,0.0,0.0,0.0,0.0,0.14918963528415868,0.0,0.0,0.0,0.0,0.0
