epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,1.2475502720245948,3.7610857486724854,0.062266202839478965,0.0,0.0,0.0,0.0,0.33127253129666095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3692107417039562,0.0,0.11948426160333303,0.0,0.7392470503193579,0.0,0.0,0.0,0.0,0.4333039059400189,0.0,0.0,0.0,0.0,0.0
2,0.7092008977145939,1.2926715791225434,0.10981135119740348,0.0,0.0,0.15724471260135106,0.0,0.3744226928354566,0.0,0.0,0.0,0.0,0.18114039740936727,0.02777826932854417,0.0,0.0,0.0,0.0,0.0,0.0,0.7155100043525483,0.0,0.30756454089024005,0.0,0.8699232467531732,0.0,0.0,0.0,0.0,0.8803793741462307,0.0,0.0,0.0,0.0,0.0
3,0.5706542098260188,1.6601125478744507,0.09845379831369641,0.0,0.0,0.1361047882518421,0.0,0.5475101613768582,0.0008201133239826314,0.0,0.0,0.0,0.1568205965498225,0.006491445174453617,0.0,0.0,0.0,0.0,0.0,0.0,0.27880324237849224,0.0,0.2441766774745993,0.0,0.9106644099667927,0.0,0.0,0.0,0.0,0.8573654440729979,0.0,0.0,0.0,0.0,0.011764667468443991
4,0.4703898508470137,1.9835820555686952,0.09786762514011467,0.0,0.0,0.015566969318790739,0.0,0.6388981794163496,0.0009992828047648682,0.0,0.0,0.0,0.14380366891550134,0.20196373016982702,0.0,0.0,0.0,0.0,0.0,0.0,0.1841905888128184,0.0,0.128021808000026,0.0,0.9373038898848943,0.0,0.0,0.0,0.0,0.8699970888943073,0.0,0.0,0.0,0.0,0.011018798266389695
5,0.4099499096909722,1.4049869894981384,0.1438249394573176,0.0,0.0,0.2772458093014943,0.0,0.8157436590622378,0.014505961234301326,0.0,0.0,6.236409478514185e-05,0.5711403161663198,0.315741022685209,0.0,0.0,0.0,0.00012116627510246902,0.0,0.0,0.21932179413410915,0.0,0.2881243806590909,0.0,0.9190397848993512,0.0,0.0,1.2550200818963606e-05,0.0,0.8962896572298164,0.0,0.0,0.0,0.0,0.2850495966915273
6,0.3649147465661332,0.45606831908226014,0.19388599003075813,0.0,0.0,0.42129872850759426,0.0,0.880978637004343,0.024541130776728783,0.0,0.0,6.470107050582702e-05,0.6349130391127961,0.5126139488549056,0.0,0.0,0.0,0.0,0.0,0.0,0.8489889675332567,0.0,0.7235822870163279,0.0,0.9371992698603746,0.0,0.0,0.001603678655483914,0.0,0.908619012872032,0.0,0.0,0.0,3.088008237867224e-05,0.30991739963753295
7,0.34720424636379704,0.45808704793453214,0.19602380897602628,0.0,0.0,0.4684252946849544,0.0,0.8605298132274182,0.05506636411184636,0.0,0.0,1.4234875465103023e-05,0.6195947777088818,0.504886537679091,0.0,0.0,0.0,0.0,0.0,0.0,0.847237329601261,0.0,0.7200934603558748,0.0,0.9329193257548557,0.0,0.0,0.023197184826723116,0.0,0.9041648312961664,0.0,0.0,0.0,5.143503760048867e-05,0.3365812980727026
8,0.3350883520893998,0.41620236337184907,0.1987754181518286,0.0,0.0,0.45555503330139746,0.0,0.8791348428379326,0.06251545398365226,0.0,0.0,0.0,0.620721773022888,0.538055733222036,0.0,0.0,0.0,0.0,0.0,0.0,0.869155149033736,0.0,0.7465791123008514,0.0,0.9387518933896809,0.0,0.0,0.014804174709413791,0.0,0.9036237519593128,0.0,0.0,0.0,3.087690410753078e-05,0.33188558619350494
9,0.32674125606542104,0.4022743344306946,0.20166429758663268,0.0,0.0,0.44032808028587844,0.0,0.8805441239943596,0.06522476012977818,0.0,0.0,0.0,0.6634987309452255,0.5184960894690945,0.0,0.0,0.0,0.0,0.0,0.0,0.8793434185510067,0.0,0.7619199498473925,0.0,0.938912648837527,0.0,0.0,0.020640275279790725,0.0,0.9118990644425132,0.0,0.0,0.0,1.0296540373040095e-05,0.37244008444930643
10,0.31989062667548,0.44855969250202177,0.2001752288225877,0.0,0.0,0.4663954948376066,0.0,0.8828482005918399,0.07917290750939349,0.0,0.0,0.0,0.6604201816834525,0.531075559345181,0.0,0.0,0.0,0.0,0.0,7.758105200343029e-05,0.8442315204091166,0.0,0.726698201240124,0.0,0.938425761060512,0.0,0.0,0.005641971161882969,0.0,0.9123422292747108,0.0,0.0,0.0,1.0298661184653616e-05,0.35826741549579894
