epoch,train_loss,val_loss,val_mIOU,val_iou_B-ground,val_iou_Aeroplane,val_iou_Bicycle,val_iou_Bird,val_iou_Boat,val_iou_Bottle,val_iou_Bus,val_iou_Car,val_iou_Cat,val_iou_Chair,val_iou_Cow,val_iou_Dining-Table,val_iou_Dog,val_iou_Horse,val_iou_Motobike,val_iou_Person,val_iou_Potted-Plant,val_iou_Sheep,val_iou_Sofa,val_iou_Train,val_iou_TV/Monitor
1,1.2955325511429803,1.354084479030465,0.03464408595497789,0.7275258050545353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.3174653472158628,1.332789858847959,0.034756948135223835,0.727312961978909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002582948860791514,0.0,0.0,0.0,0.0,0.0
3,1.3067308883946376,1.4188001347110444,0.034644977648340486,0.7275222741877174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2256427432258894e-05,0.0,0.0,0.0,0.0,0.0
4,1.3119337456478453,1.3642705009667735,0.03480952070023479,0.7283719314565632,6.187299459726571e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026218159489070315,0.0,0.0,0.0,0.0,0.0
5,1.2969057804171045,1.344209577901052,0.03494114318958145,0.7289777884697339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004786218511475932,0.0,0.0,0.0,0.0,0.0
6,1.2428664024507246,1.3435567923120617,0.034647108136717536,0.7275839315766077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.339294459759079e-06,0.0,0.0,0.0,0.0,0.0
7,1.2483274398881639,1.3744477876478045,0.034672418607637236,0.7275159742586875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00060481650169392,0.0,0.0,0.0,0.0,0.0
8,1.251533110629594,1.357502924054349,0.03482007610124432,0.7280796328067567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031419653193740455,0.0,0.0,0.0,0.0,0.0
9,1.2429358543761353,1.353021588419721,0.034775251978895055,0.7276414400872578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026388514695383355,0.0,0.0,0.0,0.0,0.0
10,1.2395883137651476,1.3553214560925346,0.034809958904171726,0.728003598342618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030055386449881387,0.0,0.0,0.0,0.0,0.0
