epoch,train_loss,train_loss_0,train_loss_1,train_loss_2,train_loss_3,train_loss_4,train_loss_5,train_loss_6,train_loss_7,train_loss_8,train_loss_9,train_loss_10,train_loss_11,train_loss_12,train_loss_13,train_loss_14,train_loss_15,train_loss_16,train_loss_17,train_loss_18,train_loss_19,train_loss_20,train_loss_21,train_loss_22,train_loss_23,train_loss_24,train_loss_25,train_loss_26,train_loss_27,train_loss_28,train_loss_29,train_loss_30,train_loss_31,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,1.2062754919240763,0.0,3.262772222751214,3.193468973929664,0.0,0.8928906626963204,2.2072265038169157,1.4940284643420765,4.001047748115902,4.4906303249536155,2.988655050121516,3.5688497672745916,0.03156381124978537,3.841706278880156,0.0,3.7209951389480405,0.0,3.9080264301857537,0.5744385874440058,0.0,1.2130894514937067,3.709670086108413,0.9994272159697034,0.0,0.0,4.147600723189609,0.0,0.6919193250104929,3.6985462520782435,0.0,1.8431022608135657,4.52720098932848,3.7859016162917487,2.5946940898895265,0.03906332753355911,0.0,0.0,0.0,0.0,0.19387291627655884,0.0,0.0,0.0,0.0,0.1079846090865663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04954814803703356,0.0,0.010927642760945096,0.0,0.2826830196393601,0.0,0.0,0.0,0.0,0.6050101452734274,0.0,0.0,0.0,0.0,0.0
2,0.5284133245656778,0.0,3.514748314996108,1.3077607234325934,0.0,0.22733699266734278,1.767200792368017,2.004453999300551,4.107085404362896,5.155057131118422,0.8638449816405818,1.38038159664371,0.030410871400937928,4.433989874902485,0.0,3.6565440934630424,0.0,3.8072730404405024,0.13735586587047466,0.0,0.4269348553775651,4.0815083067857065,0.10661050794252408,0.0,0.0,4.3042479389480155,0.0,0.1522335760003466,3.4659753742810255,0.0,2.423624284463701,4.723103359915569,2.92274462278603,0.881394910812378,0.15177886767395896,0.0,0.0,0.18038856197355999,0.0,0.7606920150303175,0.14529594320976594,0.0,0.0,0.0,0.24983716093898,0.5320715473188604,0.0,0.0,0.0,0.0,0.0,0.0,0.6679393817701722,0.0,0.5029370271993813,0.0,0.9250061168063594,0.0,0.0,0.0,0.0,0.8927560113192907,0.0,0.0,0.0,0.0,0.0
3,0.34874472447804045,0.0,3.413040936105471,0.6351018332008376,0.0,0.12811884564680506,0.7535453581277927,2.207427939140805,4.379578073641888,4.984258202207438,0.4249315896650668,0.8191094730611218,0.032688059649624665,4.144533805175981,0.0,2.948529419867381,0.0,3.0036349987366058,0.08560404882251761,0.0,0.2111686971500324,4.185440599702756,0.0888994317411335,0.0,0.0,3.695566625106425,0.0,0.11217845677377936,3.0398923723023508,0.0,2.319508589497613,4.2566012614702355,1.1842194773607209,0.33307457268238067,0.23280528474441287,0.0,0.0,0.7033569512286896,0.0,0.9157175108576551,0.30496701630740813,0.0,0.0,0.0,0.6631119567205725,0.6405152127650678,0.0,0.0,0.0,0.0,0.0,0.10701729554856343,0.9190909115673115,0.0,0.8162147539747764,0.0,0.9344484345567556,0.0,0.0,0.0,0.0,0.9208051815939566,0.0,0.0,0.0,0.0,0.5245238867004544
4,0.2727513406630401,0.0,3.48161711996595,0.421295914970457,0.0,0.10122538285253159,0.3850056394869852,2.2364217589729374,4.401246485595025,4.683153140064619,0.3200458461966316,0.6975579540486145,0.03765416145324707,3.744748145876536,0.0,1.7635281066072899,0.0,2.201737427983933,0.06970833366917516,0.0,0.15054659938297407,4.140830372163336,0.07988330911162901,0.0,0.0,3.087380062420306,0.0,0.09442764583352099,2.9319025193600705,0.0,2.2938711073063183,3.746465374301127,0.6242678226563808,0.5224601089954376,0.2502951196619994,0.0,0.0,0.7410909476350637,0.0,0.9201495412000718,0.43369369185395906,0.0,0.0,0.0,0.7201286997983279,0.620882563567137,0.0,0.0,0.0,0.32531465811169136,0.0,0.3533484877136966,0.7547575784846235,0.0,0.6778260468003573,0.0,0.9397880283056139,0.0,0.0,0.0009550141301985628,0.0,0.9182789982171011,0.0,0.0,0.0,0.0,0.6032295733661365
5,0.2291634536378986,0.0,3.7983413682478124,0.29731487572817716,0.0,0.08963133007658762,0.2831101544298766,2.2640233489060893,4.411199151829748,4.276484014701914,0.2741258761448571,0.6411338459877994,0.03675187027061379,3.3627604518181586,0.0,1.2709967612481239,0.0,1.4663686354729335,0.06344338853268766,0.0,0.1320750964155177,4.21418326028857,0.07527149724062011,0.0,0.0,1.8302852473398423,0.0,0.09005280030890914,2.64820415330717,0.0,2.2629714878813583,3.2155028406512773,0.5884655795443967,0.9644776850938797,0.23175352746089226,0.0,0.0,0.6254307828381674,0.0,0.912039701364012,0.4249635861225218,0.0,0.0,0.0,0.6420812187521209,0.5308526410581338,0.0,0.0,0.0,0.2782760186899487,0.0,0.3286744536937188,0.4369425433307107,0.0,0.377717806386477,0.0,0.9390624492831334,0.0,0.0,0.546560471959524,0.0,0.9199395477066912,0.0,0.0,0.0,0.0767014517071132,0.3768702058562792
6,0.1938720940724834,0.0,4.077351052914347,0.2509058369449481,0.0,0.07789725500840758,0.2663056098743616,2.321005738260192,4.37259958746097,3.66161112409413,0.254429614917226,0.5906306059259003,0.037531260605696795,2.970395422881139,0.0,1.0755976348460472,0.0,1.069783190305169,0.05988619661096038,0.0,0.1219503413634183,4.364064838593862,0.07320894918420284,0.0,0.0,0.6693440376074263,0.0,0.08501839056061071,2.1262394628486097,0.0,2.162881845625064,2.657883204184415,0.5162091784274546,0.24105736017227172,0.31285316279379527,0.0,0.0,0.8050552021837758,0.0,0.9383192699008411,0.4566368218339084,0.0,0.0,0.00088495276901425,0.7721062804534409,0.6781838236554927,0.0,0.0,0.0,0.5095254352661972,0.0,0.5433002367881891,0.913005130506112,0.0,0.7944267886625129,0.0,0.9353487220195487,0.0,0.0,0.7197669258656832,0.0,0.9320373422097372,0.08233365021774887,0.0,0.0,0.20886994366920025,0.7215006834000468
7,0.19193062849424697,0.0,4.406274255768605,0.2793457213886848,0.0,0.07828142743569941,0.3449740950222665,2.26450396963544,4.063486631709101,3.1460617300439946,0.252049709418368,0.6242847822666142,0.03775280648535424,2.5540983764510745,0.0,0.989422133132981,0.0,1.0043374580452165,0.07652694540314255,0.0,0.16808897505756298,4.105782532676423,0.0707987702473062,0.0,0.0,0.5923340478752966,0.0,0.08161353676889682,1.5818579275788156,0.0,2.076142065306637,2.369313799951791,0.5163657222251634,0.22785514742136,0.31939340660208737,0.0,0.0,0.8473127991770332,0.0,0.9347626303351418,0.38568877893742437,0.0,0.0,0.06572547656723922,0.7959052354228493,0.6680278843196623,0.0,0.0,0.0,0.5149268389132013,0.0,0.6153177220404725,0.9237434481371422,0.0,0.8442495015140036,0.0,0.938435399433526,0.0,0.0,0.6096772661016217,0.0,0.9373520562275491,0.2512939202642403,0.0,0.0,0.23285978961632167,0.6553102642593677
8,0.1552531000349548,0.0,4.573174379604273,0.19682587055943002,0.0,0.06931535234719206,0.3261009836984802,2.2558252010889315,3.461612966456219,2.492003355445215,0.22939345838556985,0.5548037293643647,0.03760457562876272,1.9310926307127798,0.0,0.7982424257868647,0.0,0.7438882556158536,0.05527487956944963,0.0,0.1105561547932513,3.875380304330895,0.06973627321369504,0.0,0.0,0.49447070926442227,0.0,0.07825626984738195,0.9488181695953792,0.0,1.8984291109989366,2.1210029257080887,0.4512966949895309,0.1856635555624962,0.3416101979324939,0.0,0.0,0.8565382263596334,0.0,0.9465260590953767,0.5385508969963089,0.0,0.0,0.15392761147131012,0.8314973815207276,0.683421379518807,0.0,0.1855173711377151,0.0,0.5406740841103675,0.0,0.5585155090575727,0.9397407892311203,0.0,0.8747271976121999,0.0,0.9328991026053979,0.0,0.0,0.6802905147828545,0.0,0.9276279909384281,0.33111728808988194,0.0,0.0,0.2370709259787426,0.7128840053333602
9,0.14387493809828392,0.0,4.593071710170126,0.17601556902058854,0.0,0.06914621045401807,0.33015698016757433,2.2936792151499183,2.875931637796908,2.016336751070883,0.2176522939722432,0.5281296050914193,0.03482564465030209,1.3537674624550526,0.0,0.7099370518390088,0.0,0.6400653920821162,0.053786823755697634,0.0,0.105847240003951,3.558391704824939,0.06830064778006793,0.0,0.0,0.465568595955352,0.0,0.07493254408983209,0.7061638826553035,0.0,1.6799507585346682,2.035431197918698,0.42606011788446013,0.2541391640901566,0.33347328351435335,0.0,0.0,0.8200919689757203,0.0,0.9305051863723428,0.5176574094618484,0.0,0.00021231422956081167,0.13037362280376166,0.7818261211186757,0.6657447682398315,0.0,0.24432634609961754,0.0,0.4971836389857712,0.0,0.4887103245205419,0.8990451455847042,0.0,0.7959745674968364,0.0,0.9367242561551985,0.0,0.0,0.6788601521760078,0.0,0.9327400633513063,0.4361921129123278,0.0,0.0,0.25508211067425,0.6598949633010053
10,0.1411864099266765,0.0,4.547332111751794,0.21337593413570421,0.0,0.06746118791036758,0.32944974200090366,2.3215292948236894,2.396731348943353,1.813665767023768,0.208650694813714,0.5338602607562554,0.03580579128894177,1.130706007786262,0.0,0.7046062195854098,0.0,0.6960021753020014,0.054587743277128786,0.0,0.110995455173317,3.43730510048255,0.06827528207674594,0.0,0.0,0.4560185268689455,0.0,0.07303993707206484,0.6186608303020867,0.0,1.434236452564787,2.0094966478344,0.4439074517907485,0.3595996409654617,0.295780040402578,0.0,0.0,0.7443943407234634,0.0,0.8338901545966788,0.43156570334614697,0.0,0.05000639446065543,0.14225552854475504,0.5678343942558314,0.6248273817804422,0.0,0.08512832417568282,0.0,0.4359369051926006,0.0,0.432681079493544,0.9162124946703066,0.0,0.8048892451871813,0.0,0.9367201553468938,0.0,0.0,0.5276200025909261,0.0,0.9304217633980748,0.3652938263530589,0.0,0.006263106081584285,0.20950759340549374,0.41951289927917623
11,0.12529615255502555,0.0,4.4083687295988,0.15384447441974342,0.0,0.06053947451537975,0.27994816316418775,2.3109716143783006,1.9368314930981865,1.4400900051734877,0.19351395391055953,0.5046939746706355,0.03527265590625805,0.950237685916104,0.0,0.6292907249214507,0.0,0.5085872415215444,0.0504791933189431,0.0,0.10068049944876752,3.1663923824701907,0.06688629258522533,0.0,0.0,0.3665187879837107,0.0,0.07234209675978977,0.5254600270680303,0.0,1.147435909062444,1.9226663626749547,0.38185143662325716,0.18646972477436066,0.3716998966940156,0.0,0.0,0.8619331893758322,0.0,0.9193261909607966,0.5424468744918922,0.0,0.2886623733388919,0.17220988989658295,0.8313816558720791,0.7030688875379173,0.0,0.44977577417656056,0.0,0.5860933855618246,0.0,0.6169376039352892,0.9507060035917758,0.0,0.9015303682991187,0.0,0.9398034855626545,0.0,0.0,0.6730821497476084,0.0,0.9367225209170581,0.44651206363597246,0.0,0.11859061140129339,0.24650408212960834,0.7091095837757434
12,0.11160589566270074,0.0,4.235612393631218,0.1331364426521734,0.0,0.05017027989074622,0.22494923718224702,2.2396665426344664,1.6442174266077143,1.213493300147199,0.170639157879386,0.45083287572722297,0.035866889324817026,0.8724946634645966,0.0,0.5010801918116184,0.0,0.4307584633271888,0.04952122450078168,0.0,0.08631340054377662,2.970492796979489,0.06223839218684352,0.0,0.0,0.2792719105489751,0.0,0.0641087990413363,0.4712084906705041,0.0,0.8949225958920246,1.8173358018310883,0.3436842772730836,0.1349838435649872,0.39718687393525387,0.0,0.0,0.881053166983431,0.0,0.9656547941663216,0.5452380556610705,0.0,0.3623353997660093,0.40578566136203387,0.8507969729416975,0.7116428045108494,0.0,0.47101889324264407,0.0,0.6057079934800864,0.0,0.6803823999763854,0.9531844674222759,0.0,0.8989152303156388,0.0,0.9517986517388615,0.0,0.0,0.7847593001162989,0.0,0.9491612209014517,0.5078224602991714,0.0,0.10896593049680432,0.3078410922524445,0.7679154702946469
13,0.10719623842409678,0.0,4.239313612791725,0.13196518089082435,0.0,0.04949462748122473,0.1921533037029816,2.2292357641890277,1.6053856493497325,1.0638284045768296,0.1595054104283533,0.4619025459961915,0.03555181786254212,0.8107403662262309,0.0,0.5023034953338672,0.0,0.42678609404200607,0.045520110775533605,0.0,0.08659581795900902,2.878479293950964,0.06191544509137166,0.0,0.0,0.27084997815853806,0.0,0.06213767479128854,0.40723120648855865,0.0,0.8626846274089813,1.71726795161323,0.33226910015626115,0.13432174175977707,0.3995708673896168,0.0,0.0,0.8820844823933888,0.0,0.9660086882098968,0.549478095537878,0.0,0.38403767728494187,0.414150830390717,0.8506965989645507,0.7129075244315726,0.0,0.4780078173767565,0.0,0.602279720518067,0.0,0.6823448045772126,0.9531005643712032,0.0,0.8984324872823495,0.0,0.9520152569315222,0.0,0.0,0.7886368277329303,0.0,0.9495990003846547,0.5157241396084971,0.0,0.12618491550856875,0.3138773875300019,0.7667009374330278
