epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,399988.9870923913,5.265507062276204,0.05627421845725085,0.0,0.0,0.0,0.0,0.3188706960718123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4975124867788443,0.0,0.07726571346345555,0.0,0.18585266256448377,0.0,0.0,0.0,0.0,0.7212734317534313,0.0,0.0,0.0,0.0,0.0
2,171732.80230978262,0.7826869090398153,0.12973374969136087,0.0,0.0,0.1256825641279967,0.0,0.6882731081806676,0.0,0.0,0.0,0.0,0.38088270594760243,0.05940416003275763,0.0,0.0,0.0,0.0,0.0,0.0,0.7424667028332216,0.0,0.3253378363772851,0.0,0.9246185105114046,0.0,0.0,0.0,0.0,0.9048144021126128,0.0,0.0,0.0,0.0,0.0
3,131416.4636548913,2.9603588581085205,0.06621568180590014,0.0,0.0,0.1448072191725866,0.0,0.22539117475078269,0.02277288568938575,0.0,0.0,0.0,0.15877222001498068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9011636036605217,0.0,0.0,0.00979110907512883,0.0,0.6562036054254179,0.0,0.0,0.0,0.0,0.0
4,109803.53702445653,2.3620696862538657,0.08096773960029256,0.0,0.0,0.11584488212050799,0.0,0.21959121007293744,0.07654050616461504,0.0,0.0,0.0,0.13973989308817347,0.001636152939882599,0.0,0.0,0.0,0.0,0.0,0.00010496263232552697,0.029756864683366652,0.0,0.2362759049333591,0.0,0.9412435003591109,0.0,0.0,0.030079631734220118,0.0,0.6679866746951592,0.000781862484591646,0.0,0.0,0.0019447366767268565,0.12944088462438602
5,92794.55502717392,2.3588172594706216,0.08232326075748334,0.0,0.0,0.28164605699591316,0.0,0.4207290174654513,0.15250677194779313,0.0,0.0,0.0,0.31121475742135585,0.07274756487859484,0.0,0.0,0.0,0.09087460964191918,0.0,0.07297239678011598,0.40543231632553856,0.0,0.36555807977936283,0.0,0.0,0.0,0.0,0.057159075984465915,0.0,0.18760380489125264,0.006921402739220072,0.0,0.0,0.005505394203743951,0.2034730951847396
6,68837.48403532608,0.31228816509246826,0.23284617447675368,0.0,0.0,0.4986432770036496,0.0,0.8664646835429245,0.2171187201951288,0.0,0.0,0.0,0.6798169211255358,0.6134065024901225,0.0,0.0,0.0,0.15488784705718092,0.0,0.07627870324575443,0.922257131319609,0.0,0.7979451582904633,0.0,0.9440556918991903,0.0,0.0,0.20876735244862138,0.0,0.9175998517138405,0.04656981977146189,0.0,0.0,0.014486935792067373,0.49277898736056935
7,59329.84731657609,0.2620803614457448,0.25356546555959014,0.0,0.0,0.5713919525058667,0.0,0.928034363143641,0.2326924789630167,0.0,0.0,0.0,0.737202867659661,0.6292958514426072,0.0,0.0,0.0,0.21976622155333764,0.0,0.117163111259412,0.9364530950782367,0.0,0.8407119132304388,0.0,0.947808780032814,0.0,0.0,0.2601361696493221,0.0,0.9275308343614019,0.1046258109597236,0.0,0.0,0.02126169125358938,0.6400197568138161
8,56099.889605978264,0.25271888573964435,0.26244759645583426,0.0,0.0,0.5771151321656786,0.0,0.9328522484165879,0.23035503799528034,0.0,0.0,0.0,0.7568611029181416,0.6350832320624836,0.0,0.0,0.0,0.23922708316180966,0.0,0.12364690466086062,0.9443411727169619,0.0,0.8719941885689465,0.0,0.9462010520290095,0.0,0.0,0.3977643022997267,0.0,0.9278959077754159,0.12668913868291876,0.0,0.0,0.023903599506849168,0.6643929836260273
9,53529.078804347824,0.26247698068618774,0.2649808770585255,0.0,0.0,0.599759190048843,0.0,0.9205401952036935,0.2674782209213361,0.0,0.0,0.0,0.7557762984091008,0.5985560563808077,0.0,0.0,0.0,0.2291318082207831,0.0,0.20712520681481453,0.9343603833224844,0.0,0.8291195538590266,0.0,0.9473232265046783,0.0,0.0,0.44554919623391465,0.0,0.9286983639953114,0.1648338032288148,0.0,0.0,0.03894639410576992,0.6121901686234386
10,52095.4609375,0.24575397372245789,0.26787350501025264,0.0,0.0,0.6181647706737681,0.0,0.9174975746590978,0.2975226468638015,0.0,0.0,0.0,0.7455493680072853,0.6288545595119095,0.0,0.0,0.0,0.23169554672363404,0.0,0.19048420696910517,0.9407926053107707,0.0,0.8494469120542953,0.0,0.9476260694718983,0.0,0.0,0.45605640191646063,0.0,0.930350754398987,0.14164531364265281,0.0,0.0,0.03166108633900371,0.6446043437854141
11,49967.73658288043,0.26637017726898193,0.26477093071161545,0.0,0.0,0.6140615852355042,0.0,0.916003405729797,0.32592659799685675,0.0,0.0,0.0,0.7460348701483619,0.6452090545683913,0.0,0.0,0.0,0.2502595366451626,0.0,0.20055893975369568,0.9121676315456799,0.0,0.7629065185197564,0.0,0.9484514508439965,0.0,0.0,0.44978413310743104,0.0,0.9282467209939049,0.09473884647987371,0.0,0.0,0.037254983640101796,0.6410655075631814
12,48754.735394021736,0.2616150677204132,0.27439725727808095,0.0,0.0,0.6415015532378325,0.0,0.9374166063074293,0.36597051297117267,0.0,0.0,0.00011036174139835897,0.7597583876001851,0.6557452309219345,0.0,0.0,0.0,0.26586329983122947,0.0,0.23337562846503931,0.8992476586072247,0.0,0.7505697327710885,0.0,0.9446096951650109,0.0,0.0,0.49210511885369235,0.0,0.9283065927050071,0.1698307604717706,0.0,0.0,0.04153188809871918,0.6947692051498573
13,45759.84358016304,0.2321969618399938,0.2807860116999688,0.0,0.0,0.6563378263682424,0.0,0.9237619490596302,0.3663296442472489,0.0,0.0,0.0049192122617321855,0.7642592904053156,0.6392534317819423,0.0,0.0,0.0,0.29509049055893705,0.0,0.24736937117820168,0.9452362324919245,0.0,0.8742810977851965,0.0,0.9448503268588648,0.0,0.0,0.4554136416278694,0.0,0.9228130452872442,0.17957833284642072,0.0,0.0,0.0635712328754042,0.702087248764826
14,43817.618546195656,0.22492897510528564,0.2896507802242491,0.0,0.0,0.7160350703690398,0.0,0.9094255610143257,0.4110911976029077,0.0,0.0,0.0005252313751192954,0.7576470745818562,0.644903204166775,0.0,0.0,0.0,0.3071522284066458,0.0,0.3058868581537385,0.9495881888731489,0.0,0.8857716432820665,0.0,0.947767967098275,0.0,0.0,0.5318286308438311,0.0,0.9245961038674683,0.21044440860903543,0.0,0.0,0.07289296256256787,0.6932686363691714
15,43080.18800951087,0.21091960867245993,0.29372657233704047,0.0,0.0,0.7172486245610029,0.0,0.9370017455504727,0.4231692875870413,0.0,0.0,0.00308349667972444,0.7743279661968258,0.6595160588428183,0.0,0.0,0.0,0.3368001914064803,0.0,0.30888290146751574,0.9404689112814918,0.0,0.8674556643891489,0.0,0.9485566126899027,0.0,0.0,0.5128362710449471,0.0,0.9319786812876639,0.2412498019446136,0.0,0.0,0.07295883458530815,0.723715265270338
