epoch,train_loss,train_loss_0,train_loss_1,train_loss_2,train_loss_3,train_loss_4,train_loss_5,train_loss_6,train_loss_7,train_loss_8,train_loss_9,train_loss_10,train_loss_11,train_loss_12,train_loss_13,train_loss_14,train_loss_15,train_loss_16,train_loss_17,train_loss_18,train_loss_19,train_loss_20,train_loss_21,train_loss_22,train_loss_23,train_loss_24,train_loss_25,train_loss_26,train_loss_27,train_loss_28,train_loss_29,train_loss_30,train_loss_31,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,1.186638069,0,3.196827519,2.981203021,0,0.873472698,2.15707654,1.528580801,3.828004145,4.467364262,3.085150197,3.585296234,0.026665591,3.914918656,0,3.743381277,0,3.876357608,0.586473237,0,1.178423021,3.678252438,0.981224645,0,0,4.074919459,0,0.65405995,3.520786429,0,1.873431575,4.494746347,3.822955187,1.324976319,0.10849094,0,0,0.139318452,0,0.571361032,0,0,0,0,0.306086422,0,0,0,0,0,0,0,0.632712592,0,0.525337991,0,0.914084418,0,0,0,0,0.382809176,0,0,0,0,0
2,0.523802242,0,3.504863795,1.044829326,0,0.223111036,1.572240871,2.047963202,3.779591302,5.187731783,0.91859141,1.354207611,0.028329144,4.334786645,0,3.534798821,0,3.786996851,0.154845886,0,0.490804976,3.990906919,0.103491948,0,0,4.23308168,0,0.14695049,3.483281233,0,2.380363386,4.75886856,2.898148473,0.479689848,0.199912501,0,0,0.563284097,0,0.885124331,0.234191502,0,0,0,0.550157835,0.5995598,0,0,0,0,0,0,0.830180688,0,0.603681863,0,0.924273366,0,0,0,0,0.914469931,0,0,0,0,0.292276616
3,0.380415648,0,3.608398077,0.684166908,0,0.168920054,0.872205543,2.219851648,4.187644173,5.057963392,0.493361365,0.893009686,0.038456076,4.223531322,0,2.723994934,0,3.051776076,0.107034887,0,0.280182627,4.271234694,0.094056933,0,0,3.712819765,0,0.111324814,3.296541745,0,2.371921156,4.406786078,1.178514645,0.465695582,0.205498112,0,0,0.487190131,0,0.796450136,0.372691048,0,0,0,0.443118301,0.445666638,0,0,0,0.002358846,0,0.041587495,0.903291107,0,0.796813131,0,0.932483283,0,0,0,0,0.87794955,0,0,0,0,0.476339908
4,0.27422615,0,3.543403412,0.418785687,0,0.099690761,0.365514983,2.220342247,4.14429069,4.68242708,0.331740008,0.742994758,0.037511543,3.761275795,0,1.776129311,0,1.927957643,0.075297016,0,0.168639449,4.068108936,0.082810671,0,0,2.758496098,0,0.09596706,2.943280796,0,2.290270785,3.861408029,0.660967783,0.274910454,0.267543783,0,0,0.794902498,0,0.942402274,0.424286202,0,0,0,0.744692843,0.6554725,0,0,0,0.34816335,0,0.4255004,0.922989351,0,0.836676306,0,0.925055248,0,0,0.014413271,0,0.91228479,0,0,0,0,0.614562015
5,0.220714719,0,3.797375204,0.304599115,0,0.084534191,0.268643622,2.227910991,4.04694706,4.148149408,0.284395991,0.653608785,0.035629081,3.367300983,0,1.226579963,0,1.35121128,0.062567785,0,0.131623101,4.22286193,0.082088055,0,0,1.37669796,0,0.087296384,2.594814362,0,2.170607319,3.240477813,0.575423471,0.230091642,0.301635656,0,0,0.804546499,0,0.949636082,0.499035505,0,0,0,0.75664778,0.685754076,0,0,0,0.392805756,0,0.521819642,0.926468017,0,0.846514867,0,0.936227969,0,0,0.662084062,0,0.918434195,0,0,0,0.113517038,0.638849497
6,0.193147458,0,4.0902753,0.26595953,0,0.07920088,0.331875784,2.23648992,3.947520459,3.665937495,0.246470423,0.601242794,0.036765311,3.156770127,0,1.029281365,0,1.118695403,0.060245604,0,0.123962468,4.095867101,0.076238063,0,0,0.61099086,0,0.081979052,2.137119574,0,2.120540494,2.717363489,0.52773186,0.209727605,0.308149764,0,0,0.752869901,0,0.940466178,0.498310769,0,0,0,0.756147642,0.691659953,0,0,0,0.461585938,0,0.434030595,0.94665643,0,0.876509336,0,0.949089599,0,0,0.636822453,0,0.9361632,0.108886103,0,0,0.190221563,0.681372796
7,0.16869018,0,4.370472402,0.202786857,0,0.070116465,0.337666511,2.279876968,3.646334507,3.095363611,0.230114826,0.564838559,0.037374955,2.761548708,0,0.834983929,0,0.850143045,0.05509408,0,0.112341655,3.886294042,0.074812246,0,0,0.47946033,0,0.080568093,1.449852822,0,1.979698774,2.381645659,0.44946804,0.183302024,0.327108255,0,0,0.843396874,0,0.947450538,0.521735392,0,0,0.006527433,0.779535834,0.693643632,0,0,0,0.5106419,0,0.549033974,0.949175471,0,0.889409504,0,0.950857213,0,0,0.738474194,0,0.937516073,0.273628721,0,0,0.202909064,0.673528353
8,0.151459508,0,4.533746463,0.178624736,0,0.065418438,0.340625068,2.342376938,3.280094696,2.630772823,0.217080232,0.547917424,0.04081867,2.052744468,0,0.699866385,0,0.616278118,0.052549395,0,0.108245571,3.663056594,0.070589285,0,0,0.383317279,0,0.076651699,0.961307421,0,1.872168406,2.225957872,0.412680129,0.177571394,0.340847399,0,0,0.863400715,0,0.947193663,0.553153824,0,0,0.024624562,0.79634428,0.690892383,0,0.21946896,0,0.525656673,0,0.525342919,0.94901874,0,0.871586984,0,0.94694736,0,0,0.702546675,0,0.942448487,0.400636066,0,0,0.245000311,0.702854161
9,0.140456504,0,4.714180991,0.16492468,0,0.064614372,0.302690889,2.537149867,2.861717301,2.107003535,0.212286299,0.525808573,0.038710411,1.113629233,0,0.68793124,0,0.582802661,0.052758946,0,0.106040845,3.565697197,0.071678418,0,0,0.355863015,0,0.076377037,0.694788239,0,1.766424325,2.031430781,0.412406351,0.210723676,0.336834155,0,0,0.853057661,0,0.934552388,0.49731824,0,0,0.192225981,0.811493176,0.690094735,0,0.183347077,0,0.532958353,0,0.470943477,0.92600512,0,0.829912903,0,0.92734949,0,0,0.640878021,0,0.931457201,0.411537551,0,0,0.243080106,0.702481472
10,0.134444411,0,4.558217552,0.1986527,0,0.061872678,0.310252249,2.521727022,2.490227958,1.747466878,0.210739259,0.522150266,0.039222563,0.951719411,0,0.605744542,0,0.61941096,0.050703539,0,0.103495954,3.368408511,0.070492008,0,0,0.299211273,0,0.075333939,0.565823561,0,1.549240675,2.005160295,0.387946437,0.167459343,0.361130349,0,0,0.855751932,0,0.952463151,0.530557513,0,0,0.308103784,0.820070698,0.711578269,0,0.318099704,0,0.580014799,0,0.631206731,0.944080371,0,0.860138966,0,0.9484097,0,0,0.768040825,0,0.946196333,0.425559154,0,0,0.254553284,0.701345965
11,0.12223162,0,4.476861095,0.14654538,0,0.056905757,0.279795914,2.465619681,2.098842679,1.347401141,0.190430361,0.500206261,0.040014597,0.810930149,0,0.586458825,0,0.488594621,0.049381402,0,0.100426621,2.986325348,0.065770879,0,0,0.285081847,0,0.07230862,0.456732988,0,1.340789057,1.928956631,0.375510653,0.15389334,0.367869551,0,0,0.87450951,0,0.95925454,0.538995774,0,0.006952777,0.368660998,0.789231405,0.714876557,0,0.496456916,0,0.54663296,0,0.612179189,0.951912798,0,0.890112005,0,0.94793382,0,0,0.787306076,0,0.935596913,0.387403538,0,0,0.240904553,0.722905291
12,0.119796536,0,4.493014021,0.145917208,0,0.060205307,0.209730879,2.504292866,1.721450166,1.198110603,0.186222971,0.499659393,0.038551375,0.841108633,0,0.532671432,0,0.473719692,0.049087101,0,0.097524288,2.711869073,0.071431353,0,0,0.284757255,0,0.071668044,0.475895808,0,1.166662855,1.802185401,0.353038748,0.146906296,0.379723211,0,0,0.848531288,0,0.961998699,0.537418211,0,0.329115911,0.338239181,0.827523966,0.705878396,0,0.477449343,0,0.544247329,0,0.625689774,0.950364021,0,0.893299129,0,0.951496781,0,0,0.754481555,0,0.948642808,0.478992089,0,0.00013369,0.254462307,0.723178262
13,0.109740047,0,4.304892328,0.141651328,0,0.050748513,0.172256702,2.50195629,1.397181547,0.956907354,0.169347358,0.478794494,0.042955826,0.759989973,0,0.527999366,0,0.428236898,0.046536766,0,0.09280071,2.146474183,0.063350378,0,0,0.253735488,0,0.066680386,0.390212873,0,0.921958969,1.809507573,0.345269198,0.149448158,0.389989103,0,0,0.865223723,0,0.96245545,0.586974197,0,0.309398757,0.424486112,0.831718944,0.710479187,0,0.565099352,0,0.530288967,0,0.636151826,0.94452419,0,0.878518766,0.002167414,0.952638233,0,0,0.784009674,0,0.940646596,0.520504057,0,0.07488723,0.251883269,0.707595362
14,0.105182428,0,4.171991876,0.128466076,0,0.049935257,0.190228538,2.456008048,1.188813969,0.828679529,0.163627721,0.463800823,0.041251502,0.715876698,0,0.519391921,0,0.397147699,0.047142537,0,0.094637189,1.630247716,0.066813069,0,0,0.236116552,0,0.066341612,0.351988929,0,0.863843786,1.683125865,0.321437426,0.168581415,0.399518352,0,0,0.871312496,0,0.965058776,0.612867564,0,0.404346111,0.433233693,0.833637782,0.693845965,0,0.518569929,0,0.58970951,0,0.660131497,0.93410913,0,0.857116883,0.022665618,0.944736625,0,0,0.804027775,0,0.944085677,0.525611429,0,0.146836054,0.297930601,0.724754138
15,0.101412803,0,3.973110203,0.126570557,0,0.048660486,0.166556081,2.401154,1.039116296,0.791142376,0.159220402,0.459827974,0.043351535,0.694987041,0,0.47154383,0,0.37910367,0.045633731,0,0.091042128,1.278264367,0.063381121,0,0,0.231640997,0,0.063420515,0.319429921,0,0.694417453,1.649838702,0.313203884,0.152290913,0.418160609,0,0,0.851310909,0,0.962581706,0.588140074,0,0.407125661,0.444150751,0.844428644,0.712051979,0,0.486489261,0,0.630926666,0,0.660401202,0.942885788,0,0.874863637,0.534381451,0.946306669,0,0,0.808264337,0,0.945532898,0.509022994,0,0.195507517,0.305437184,0.731330149
16,0.09012393,0,3.878356447,0.110206769,0,0.042836083,0.214959782,2.379262989,0.939347369,0.696948771,0.127760865,0.432633269,0.042321939,0.611293906,0,0.398803743,0,0.33499061,0.043855495,0,0.076687422,1.048485003,0.055848716,0,0,0.206434003,0,0.059698889,0.28282411,0,0.602342694,1.466450225,0.259435327,0.129537804,0.433470755,0,0,0.88081547,0,0.966720713,0.594120041,0,0.512421777,0.497927895,0.850859259,0.721572299,0,0.562735636,0,0.614529015,0,0.692597715,0.951638039,0,0.893848635,0.574243981,0.955181976,0,0,0.823397887,0,0.951998014,0.547059513,0,0.200388228,0.332596292,0.74641178
17,0.087283385,0,3.746563394,0.108832782,0,0.038532272,0.171329095,2.347159169,0.858695746,0.631807602,0.122923569,0.431759711,0.043827219,0.590343645,0,0.396440509,0,0.32566317,0.041259116,0,0.076862474,1.025360338,0.062664972,0,0,0.190175031,0,0.054426884,0.277693967,0,0.574655733,1.465304947,0.260775843,0.136278704,0.426475521,0,0,0.850573864,0,0.959565557,0.603933666,0,0.500097565,0.476384449,0.852466276,0.722113518,0,0.526675454,0,0.606019037,0,0.613482132,0.953275959,0,0.900310737,0.565981555,0.950523482,0,0,0.803013726,0,0.950336697,0.534095988,0,0.204795331,0.329851181,0.743720502
18,0.08619067,0,3.720124623,0.107812187,0,0.038232911,0.160649417,2.341135154,0.872577409,0.623079554,0.121654634,0.419088232,0.044434736,0.586071643,0,0.395156373,0,0.329125784,0.040746683,0,0.077804354,0.948070693,0.056385542,0,0,0.192078171,0,0.05595595,0.266209314,0,0.576876492,1.444272792,0.256876894,0.128695896,0.432854081,0,0,0.875786391,0,0.965158435,0.61180269,0,0.518133734,0.48775313,0.852469897,0.725188573,0,0.542780597,0,0.607099178,0,0.681633084,0.955339672,0,0.902285862,0.576698528,0.954643119,0,0,0.816382316,0,0.953617257,0.542030503,0,0.205601178,0.336193398,0.740733064
19,0.085540655,0,3.675305997,0.106187979,0,0.038084541,0.155289798,2.333312549,0.842959465,0.599946813,0.1189557,0.412522831,0.044255969,0.575156229,0,0.388648601,0,0.318293615,0.041474489,0,0.077282656,0.946619737,0.058399281,0,0,0.193126265,0,0.056107051,0.265163092,0,0.54825819,1.418737011,0.257751548,0.133490974,0.42982942,0,0,0.862186593,0,0.962010349,0.625397456,0,0.512084061,0.476810065,0.84857709,0.72600252,0,0.54960578,0,0.607230494,0,0.635684491,0.954501368,0,0.901806051,0.572323636,0.95468789,0,0,0.802133807,0,0.951753217,0.531933868,0,0.207153656,0.33077305,0.741885993
20,0.084734956,0,3.654701537,0.106307636,0,0.037179814,0.15265625,2.321529819,0.850352888,0.598791793,0.118038604,0.416116814,0.04422324,0.564507956,0,0.397497947,0,0.316573406,0.041017937,0,0.073714391,0.901431951,0.061137903,0,0,0.187199593,0,0.052632455,0.262707851,0,0.566054764,1.434956136,0.254029272,0.135831076,0.435934176,0,0,0.882357611,0,0.966331266,0.618603098,0,0.483849596,0.542754593,0.856102712,0.721034215,0,0.623113345,0,0.598181562,0,0.702635283,0.946695358,0,0.880607829,0.575669638,0.952304791,0,0,0.827328413,0,0.953074684,0.55028755,0,0.203596918,0.330948612,0.734416573
21,0.084175157,0,3.64964754,0.107139734,0,0.036702474,0.15447856,2.316993654,0.846133239,0.576032554,0.117819036,0.408659262,0.044866237,0.556125508,0,0.381259303,0,0.312981763,0.040743502,0,0.07794951,0.872227032,0.056316387,0,0,0.185016472,0,0.056063847,0.259132679,0,0.530687908,1.410491635,0.2501861,0.127242745,0.433879513,0,0,0.878687052,0,0.965675378,0.627448263,0,0.51984977,0.494406206,0.853704964,0.723992734,0,0.564094537,0,0.598633692,0,0.683616012,0.956581952,0,0.906924639,0.57405251,0.954348024,0,0,0.813921978,0,0.95319147,0.551536462,0,0.192363033,0.330353414,0.740762321
22,0.083474463,0,3.623245262,0.104537854,0,0.036318653,0.15503771,2.306334876,0.826686475,0.582475576,0.116595852,0.414992614,0.044498994,0.547802115,0,0.389320219,0,0.319292151,0.040630789,0,0.073821756,0.860360431,0.060158143,0,0,0.18954295,0,0.053032373,0.256396002,0,0.542649527,1.385856549,0.254135058,0.133473067,0.436696862,0,0,0.88461461,0,0.966065187,0.617817915,0,0.521665999,0.499260561,0.855364919,0.720351398,0,0.607263991,0,0.619851506,0,0.702826994,0.947711044,0,0.882742512,0.57691497,0.954079528,0,0,0.827890079,0,0.953230299,0.552535917,0,0.2060343,0.339287692,0.738790167
23,0.082930564,0,3.59476409,0.103943508,0,0.03585771,0.142582103,2.300758912,0.830954263,0.579552227,0.11704473,0.419613081,0.045955611,0.547571437,0,0.384952016,0,0.307722047,0.039148235,0,0.076924804,0.844215515,0.058858913,0,0,0.178293933,0,0.053389186,0.252621983,0,0.525917123,1.397356943,0.247997428,0.129204872,0.437787045,0,0,0.884068932,0,0.96718362,0.631641754,0,0.511989239,0.510672554,0.853532873,0.723698429,0,0.603674843,0,0.626520341,0,0.699538729,0.952073947,0,0.894990404,0.571687534,0.95454406,0,0,0.82620087,0,0.953453004,0.556492317,0,0.204292792,0.339622588,0.743306605
24,0.082311348,0,3.590391671,0.104247966,0,0.035563716,0.143694394,2.287787486,0.810919439,0.570222803,0.113113126,0.407695248,0.044244751,0.53504137,0,0.375852971,0,0.310849404,0.040108877,0,0.075590917,0.809107115,0.056727892,0,0,0.18748298,0,0.053509302,0.252567192,0,0.534027637,1.377328402,0.247960938,0.127518662,0.435672098,0,0,0.880831082,0,0.966487479,0.649335742,0,0.523829236,0.500752839,0.851671101,0.725632704,0,0.574106557,0,0.600165241,0,0.693478832,0.955835995,0,0.90458586,0.57315725,0.952829935,0,0,0.818141518,0,0.95248457,0.551063859,0,0.2017555,0.327351672,0.738010179
25,0.081022026,0,3.548775428,0.107221819,0,0.035598018,0.13787833,2.28225315,0.797316152,0.541835664,0.114079786,0.38687592,0.045061594,0.523844342,0,0.368680923,0,0.31003623,0.041068262,0,0.071156109,0.841770313,0.056430303,0,0,0.182648459,0,0.051593004,0.243969201,0,0.505667557,1.380136542,0.245715808,0.126728737,0.43595756,0,0,0.883720608,0,0.967217107,0.633685697,0,0.533080794,0.49961784,0.849935032,0.7243871,0,0.578973921,0,0.595946181,0,0.694949811,0.955836221,0,0.905165595,0.572272669,0.953396176,0,0,0.818697012,0,0.952628523,0.554573806,0,0.207019955,0.332095896,0.737441985
26,0.080797409,0,3.55468951,0.102647013,0,0.034937154,0.140737092,2.280987765,0.800169457,0.544395217,0.113010707,0.398263494,0.044978828,0.524453553,0,0.374335697,0,0.306513682,0.040558132,0,0.072284913,0.823538692,0.058480513,0,0,0.178436541,0,0.051109137,0.247856503,0,0.504323852,1.36033534,0.243214097,0.130143521,0.436620583,0,0,0.883109865,0,0.966569602,0.643160659,0,0.506807365,0.510584355,0.853083344,0.725047206,0,0.596930745,0,0.612069616,0,0.700065335,0.95179167,0,0.892996327,0.575447481,0.953769288,0,0,0.82111927,0,0.952404203,0.553673555,0,0.201148591,0.331439268,0.740640905
27,0.080686243,0,3.554869149,0.102673207,0,0.034487344,0.140474706,2.280382186,0.801255607,0.547738096,0.111919412,0.407094132,0.045071078,0.525817743,0,0.374419082,0,0.307063234,0.039704882,0,0.073039944,0.81836666,0.057498318,0,0,0.180162782,0,0.051780124,0.250967086,0,0.510491619,1.363583142,0.239892008,0.129547487,0.433978967,0,0,0.876609265,0,0.965544661,0.633365588,0,0.5287092,0.491715894,0.851547954,0.724510296,0,0.55792466,0,0.603902112,0,0.682068445,0.953961814,0,0.901121794,0.572671006,0.95260211,0,0,0.813576973,0,0.952048218,0.546706267,0,0.208035177,0.330781992,0.739923521
28,0.080614236,0,3.557275203,0.103021499,0,0.034513322,0.142177382,2.281329508,0.798469819,0.55334934,0.112846416,0.409651992,0.045232123,0.525047115,0,0.372386145,0,0.306161237,0.039483786,0,0.073412019,0.815398975,0.057671581,0,0,0.180338596,0,0.050946393,0.251197941,0,0.513252947,1.353790502,0.243360723,0.128225192,0.437330083,0,0,0.879114536,0,0.966962062,0.631826612,0,0.52329891,0.51818695,0.855045793,0.723917722,0,0.608516993,0,0.604427645,0,0.698791284,0.953309118,0,0.896759044,0.576640857,0.953533302,0,0,0.822593908,0,0.952907007,0.55081396,0,0.205395934,0.333139453,0.739381562
