model_name,total_fn,true_anormaly_part,total_anormaly_part,error_predict_part,Anormaly_precision,Anormaly_recall,Anormaly_iou,Anormaly_tp,Anormaly_fp,Anormaly_fn
iw_keyboard_320,726803,6,7,145,0.21641069053089854,0.1673602992751929,0.10421034241788958,3579.0,12959.0,17806.0
keyboard_480_transfer,149382,5,7,123,0.16186963357116943,0.49382032835270245,0.13883414583549425,2677.0,13861.0,2744.0
keyboard_600_transfer,11370,4,7,34,0.11657999758132785,0.9762025316455696,0.11624962315345191,1928.0,14610.0,47.0
keyboard_720_orign,1283,3,7,21,0.013302696819446125,0.8906882591093117,0.013281014186537881,220.0,16318.0,27.0
iw_keyboard_720_orign,208505,7,7,161,0.22046196638045712,0.27170429987331396,0.13857322032609934,3646.0,12892.0,9773.0
keyboard_480_orign,86993,5,7,120,0.1509856089007135,0.5846405993912432,0.13635867190913062,2497.0,14041.0,1774.0
iw_keyboard_600_orign,90862,6,7,99,0.183456282500907,0.5782351820087669,0.1618047037491334,3034.0,13504.0,2213.0
iw_keyboard_720_transfer,694340,7,7,146,0.22221550368847504,0.14759628900759067,0.09732005720036015,3675.0,12863.0,21224.0
iw_keyboard_600_transfer,136442,4,7,106,0.20480106421574557,0.4466569959119082,0.16335487604900165,3387.0,13151.0,4196.0
iw_keyboard_480_orign,1645694,7,7,172,0.21858749546498973,0.07077688150990681,0.05648525758214972,3615.0,12923.0,47461.0
keyboard_600_orign,15926,4,7,65,0.07497883661869634,0.9323308270676691,0.0745730093817657,1240.0,15298.0,90.0
iw_keyboard_480_transfer,1572444,7,7,175,0.23140645785463781,0.07024854069532656,0.05695872836327375,3827.0,12711.0,50651.0
keyboard_720_transfer,6163,3,7,11,0.09438868061434273,0.9949012109623965,0.09434304363592409,1561.0,14977.0,8.0
keyboard_320,33592,4,7,101,0.13060829604547103,0.9148665819567979,0.12903996654519387,2160.0,14378.0,201.0
