mon,ce_weight,focal_weight,dice_weight,ce,focal,dice,dicev2,dicev2_weight,wuzhou_ce,wuzhou_ce_weight_local,wuzhou_ce_baseline,wuzhou_ce_baseline_global,wuzhou_focal,wuzhou_focal_weight_local,wuzhou_focal_baseline,wuzhou_focal_baseline_global,wuzhou_ce_weight,wuzhou_focalv2,wuzhou_focal_weight,ce_baseline,ce_baseline_global,ce_weight_local,V100_ce,V100_ce_baseline,V100_ce_baseline_global,,
0,0.357994265,0.378781863,0.157517276,,0.32,0.1406,0.1474,0.1807,0.3377,0.3743,0.4409,0.4361,0.3237,0.3645,0.4233,0.4177,0.3683,0.3235,0.3479,0.4546,0.4504,0.3779,0.3354,0.4685,0.4643,,0
0.1,0.389930236,0.377213772,0.162214528,,0.3152,0.1417,0.1452,0.2033,0.3431,0.3776,0.4445,0.4331,0.3284,0.3624,0.422,0.4128,0.3864,0.3297,0.3674,0.4523,0.4492,0.3854,0.3466,0.4722,0.4663,,0.1
0.2,0.395219731,0.377819362,0.167361854,,0.3315,0.1427,0.1482,0.243,0.3396,0.3639,0.4478,0.4366,0.3338,0.3658,0.4252,0.4184,0.3418,0.3352,0.3644,0.4535,0.4565,0.3987,0.3478,0.4668,0.4677,,0.2
0.3,0.411935503,0.379727018,0.174116897,,0.3574,0.144,0.1996,0.2561,0.3612,0.3868,0.4444,0.4427,0.3472,0.3688,0.4244,0.4167,0.3766,0.3242,0.3646,0.4555,0.4562,0.4094,0.3391,0.4738,0.4694,,0.3
0.4,0.420546807,0.380904947,0.182687611,,0.3633,0.1456,0.2241,0.2823,0.369,0.3794,0.447,0.442,0.3495,0.3476,0.4229,0.4166,0.3869,0.3585,0.3641,0.459,0.4566,0.4022,0.3478,0.4773,0.4706,,0.4
0.5,0.427602471,0.384618956,0.190936939,,0.3891,0.1475,0.2416,0.3052,0.3613,0.3909,0.4481,0.447,0.3545,0.3598,0.4303,0.4238,0.3773,0.3618,0.37,0.4593,0.4584,0.4052,0.3645,0.4808,0.479,,0.5
0.6,0.404432151,0.39713935,0.197195187,,0.3815,0.1529,0.2567,0.3225,0.3674,0.416,0.4542,0.4503,0.3323,0.3681,0.429,0.4277,0.3913,0.3601,0.3745,0.4612,0.4523,0.412,0.3334,0.4783,0.4813,,0.6
0.7,0.41101288,0.392895785,0.198024662,,0.3868,0.1661,0.2808,0.3466,0.4163,0.4216,0.4592,0.4542,0.3684,0.3782,0.4373,0.4322,0.4188,0.3724,0.3764,0.4569,0.4618,0.4334,0.4051,0.4824,0.4752,,0.7
0.8,0.435638886,0.40546415,0.21046753,,0.3988,0.1834,0.3183,0.3659,0.416,0.4194,0.4574,0.4562,0.3986,0.4001,0.446,0.4397,0.4274,0.3903,0.3989,0.4544,0.4652,0.4416,0.4293,0.4854,0.4864,,0.8
0.9,0.442180003,0.432426797,0.303498643,,0.4194,0.2122,0.3491,0.3902,0.4233,0.4442,0.4546,0.4356,0.4065,0.4176,0.4487,0.4446,0.4278,0.4063,0.4147,0.4611,0.4624,0.4571,0.4465,0.4838,0.4793,,0.9
0.91,0.435533702,0.432637623,0.316431291,,0.3921,0.1822,0.3326,0.3469,0.4168,0.4201,0.4577,0.4448,0.4085,0.4216,0.4528,0.4351,0.4232,0.4094,0.4229,0.4615,0.4339,0.4412,0.4555,0.4796,0.4464,,0.91
0.92,0.436884191,0.445810762,0.328247364,,0.4223,0.2208,0.305,0.38,0.3572,0.4322,0.4489,0.4161,0.4085,0.4254,0.4509,0.4415,0.423,0.4099,0.4253,0.444,0.4386,0.4521,0.4541,0.4773,0.4677,,0.92
0.93,0.452390082,0.448147422,0.318112058,,0.4284,0.2504,0.3493,0.3543,0.3932,0.4279,0.4476,0.4441,0.4184,0.4183,0.4498,0.444,0.4263,0.4112,0.397,0.4527,0.4389,0.4322,0.4226,0.4692,0.4496,,0.93
0.94,0.451718341,0.449235936,0.284007077,,0.4019,0.2674,0.3512,0.3497,0.3618,0.3946,0.4486,0.4373,0.4148,0.4204,0.4445,0.4362,0.4295,0.4151,0.412,0.4544,0.4364,0.4405,0.3616,0.4697,0.4574,,0.94
0.95,0.431057715,0.450111817,0.305538488,,0.4061,0.2778,0.3179,0.3511,0.3309,0.423,0.4395,0.4232,0.4067,0.4232,0.4443,0.4357,0.4209,0.3857,0.4331,0.4549,0.4205,0.4191,0.4157,0.4569,,,0.95
0.96,0.416590003,0.450480221,0.298329832,,0.3218,0.305,0.3183,0.3416,0.3615,0.4202,0.436,0.4162,0.4037,0.4261,0.4374,0.4317,0.413,0.4148,0.4172,0.4271,0.3622,0.4263,0.4245,0.4667,0.4547,,0.96
0.97,0.389803879,0.44177936,0.365204308,,0.414,0.3519,0.2954,0.3856,0.3779,0.3677,0.4191,0.4047,0.4129,0.4002,0.4377,0.3993,0.3864,0.4063,0.4256,0.4322,0.4193,0.3323,0.3278,0.4679,0.4437,,0.97
0.98,0.398504734,0.426159869,0.385198883,,0.2859,0.3689,0.3055,0.3703,0.3784,0.3271,0.4015,0.3653,0.3312,0.4206,0.4142,0.4103,0.3693,0.3846,0.4121,0.4176,0.4118,0.3675,0.3278,0.4312,0.3977,,0.98
0.99,0.312277379,0.370910633,0.342850839,,0.3852,0.357,0.2511,0.294,0.3141,0.3403,0.3368,0.3593,0.3045,0.3162,0.408,0.3583,0.3335,0.3369,0.3909,0.403,0.327,0.3484,0.2111,0.4434,0.4099,,0.99
